candidate_id,source_phase,run_tag,evidence_tier,evidence_validity,actual_method,repair_status,superseded_by,is_rerun_20260622,has_config,has_metrics,has_report,has_checkpoint,has_onnx,has_closed_loop_mat,closed_loop_mat_count,config_file,metrics_file,report_file,checkpoint_path,onnx_file,closed_loop_mat_files,offline_proxy_score,offline_metric_missing_ratio,offline_missing_metrics,prior_class_label,prior_eligible_for_class_b,advisory_only
fs_t05_s02_sm000_seed21,E2_hard_sample_loss,fs_t05_s02_sm000_seed21,degraded,degraded,hard_sample_focal_only,PASS_CONTRACT_LIMITED,NaN,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\config.json,results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\ModernTCN_train_report.md,results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\modern_tcn_seed21.pt,NaN,,0.599743918746685,0,none,Class D,false,false
pg_alpha01_seed21,E3_physics_group_gate,pg_alpha01_seed21,missing_checkpoint,historical_valid,physics_group_gate_alpha_init=0.1,HISTORICAL,NaN,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha01_seed21\config.json,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha01_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha01_seed21\ModernTCNPhysicsGroupGate_train_report.md,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha01_seed21\modern_tcn_pg_seed21.pt,NaN,,0.434068655796576,0,none,Class D,false,false
pg_alpha0_seed21,E3_physics_group_gate,pg_alpha0_seed21,missing_checkpoint,historical_valid,physics_group_gate_alpha_init=0.0,HISTORICAL,NaN,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha0_seed21\config.json,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha0_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha0_seed21\ModernTCNPhysicsGroupGate_train_report.md,results\modern_tcn_sci_innovation\03_physics_group_gate\pg_alpha0_seed21\modern_tcn_pg_seed21.pt,NaN,,0.47007977396399,0,none,Class D,false,false
mode_theta_detach_flatreg001_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21,missing_checkpoint,historical_valid,mode_theta_detach_flatreg=0.01,HISTORICAL,mode_theta_detach_flatreg001_seed21_rerun_20260622,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21\config.json,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21\ModernTCNModeTheta_train_report.md,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21\modern_tcn_mode_theta_seed21.pt,NaN,,0.406912682942915,0,none,Class B,true,false
mode_theta_detach_flatreg003_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg003_seed21,missing_checkpoint,historical_valid,mode_theta_detach_flatreg=0.03,HISTORICAL,NaN,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg003_seed21\config.json,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg003_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg003_seed21\ModernTCNModeTheta_train_report.md,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg003_seed21\modern_tcn_mode_theta_seed21.pt,NaN,,0.422917801135351,0,none,Class B,true,false
mode_theta_detach_flatreg000_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg000_seed21,missing_checkpoint,historical_valid,mode_theta_detach_flatreg=0.0,HISTORICAL,NaN,false,true,true,true,false,false,false,0,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg000_seed21\config.json,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg000_seed21\metrics_test.csv,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg000_seed21\ModernTCNModeTheta_train_report.md,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg000_seed21\modern_tcn_mode_theta_seed21.pt,NaN,,0.46702018399862,0,none,Class D,false,false
cs_main_c06_d02,E5_confidence_scheduling,cs_main_c06_d02,advisory_only,advisory_only,confidence_scheduling_offline_screen,PASS_CONTRACT_LIMITED,NaN,false,false,true,true,false,false,false,0,NaN,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c06_d02\cs_main_c06_d02_offline_metrics.csv,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c06_d02\cs_main_c06_d02_offline_summary.md,NaN,NaN,,NaN,0.777777777777778,acc_main;acc_turn;acc_turn_transition;theta_mae_deg;flat_recall;stall_recall;slope_recall,AdvisoryOnly,false,true
cs_mainturn_c06_d01,E5_confidence_scheduling,cs_mainturn_c06_d01,advisory_only,advisory_only,confidence_scheduling_offline_screen,PASS_CONTRACT_LIMITED,NaN,false,false,true,true,false,false,false,0,NaN,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_mainturn_c06_d01\cs_mainturn_c06_d01_offline_metrics.csv,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_mainturn_c06_d01\cs_mainturn_c06_d01_offline_summary.md,NaN,NaN,,NaN,0.777777777777778,acc_main;acc_turn;acc_turn_transition;theta_mae_deg;flat_recall;stall_recall;slope_recall,AdvisoryOnly,false,true
cs_main_c07_d01,E5_confidence_scheduling,cs_main_c07_d01,advisory_only,advisory_only,confidence_scheduling_offline_screen,PASS_CONTRACT_LIMITED,NaN,false,false,true,true,false,false,false,0,NaN,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c07_d01\cs_main_c07_d01_offline_metrics.csv,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c07_d01\cs_main_c07_d01_offline_summary.md,NaN,NaN,,NaN,0.777777777777778,acc_main;acc_turn;acc_turn_transition;theta_mae_deg;flat_recall;stall_recall;slope_recall,AdvisoryOnly,false,true
cs_main_c06_d01,E5_confidence_scheduling,cs_main_c06_d01,advisory_only,advisory_only,confidence_scheduling_offline_screen,PASS_CONTRACT_LIMITED,NaN,false,false,true,true,false,false,false,0,NaN,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c06_d01\cs_main_c06_d01_offline_metrics.csv,results\modern_tcn_sci_innovation\05_confidence_scheduling\cs_main_c06_d01\cs_main_c06_d01_offline_summary.md,NaN,NaN,,NaN,0.777777777777778,acc_main;acc_turn;acc_turn_transition;theta_mae_deg;flat_recall;stall_recall;slope_recall,AdvisoryOnly,false,true
rate_limit_only_d01,E5_confidence_scheduling,rate_limit_only_d01,advisory_only,advisory_only,confidence_scheduling_offline_screen,PASS_CONTRACT_LIMITED,NaN,false,false,true,true,false,false,false,0,NaN,results\modern_tcn_sci_innovation\05_confidence_scheduling\rate_limit_only_d01\rate_limit_only_d01_offline_metrics.csv,results\modern_tcn_sci_innovation\05_confidence_scheduling\rate_limit_only_d01\rate_limit_only_d01_offline_summary.md,NaN,NaN,,NaN,0.777777777777778,acc_main;acc_turn;acc_turn_transition;theta_mae_deg;flat_recall;stall_recall;slope_recall,AdvisoryOnly,false,true
uncertainty_seed101_rerun_20260622,E1_loss_optimization,uncertainty_seed101_rerun_20260622,full,historical_valid,loss_mode=uncertainty_weighting,reused_existing_rerun_20260622,NaN,true,true,true,true,true,true,true,3,results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\config.json,results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\metrics_test.csv,results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\ModernTCN_train_report.md,results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\modern_tcn_seed101.pt,results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\00_exported_onnx\uncertainty_seed101_rerun_20260622\uncertainty_seed101_rerun_20260622.onnx,results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_factory_logistics_showcase_theta10_v3\uncertainty_seed101_rerun_20260622_out.mat;results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_closed_loop_long_updown_theta10_v1\uncertainty_seed101_rerun_20260622_out.mat;results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_closed_loop_sharp_turn_transition_theta10_v1\uncertainty_seed101_rerun_20260622_out.mat,0.363054132620369,0,none,NaN,false,false
mode_theta_detach_flatreg001_seed21_rerun_20260622,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21_rerun_20260622,full,historical_valid,mode_theta_detach_flatreg=0.01,reused_existing_rerun_20260622,NaN,true,true,true,true,true,true,true,3,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21_rerun_20260622\config.json,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21_rerun_20260622\metrics_test.csv,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21_rerun_20260622\ModernTCNModeTheta_train_report.md,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21_rerun_20260622\modern_tcn_mode_theta_seed21.pt,results\modern_tcn_sci_innovation\04_mode_conditioned_theta\mode_theta_detach_flatreg001_seed21_rerun_20260622\onnx_sandbox\mode_theta_detach_flatreg001_seed21_rerun_20260622.onnx,results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_factory_logistics_showcase_theta10_v3\mode_theta_detach_flatreg001_seed21_rerun_20260622_out.mat;results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_closed_loop_long_updown_theta10_v1\mode_theta_detach_flatreg001_seed21_rerun_20260622_out.mat;results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\path_closed_loop_sharp_turn_transition_theta10_v1\mode_theta_detach_flatreg001_seed21_rerun_20260622_out.mat,0.406912682942916,0,none,NaN,false,false
