case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,disturbance_scale,noise_enabled,noise_signature,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,GRU,LPVMPC_AGV_simulink_GRU,tmp_path_short_diag,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,0,0,0,3.76872664625997,1,error,'LPVMPC_AGV_simulink_GRU/From Workspace1' 中，指定为 workspace 输入的结构体格式变量无效。如果输入信号是总线信号，变量必须为 MATLAB 时间序列对象的结构体。否则，变量必须包括 '时间' 和 '信号' 字段，并且 '信号' 字段必须为具有 '值' 字段的结构体。,13.7913884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2,GRU,LPVMPC_AGV_simulink_GRU,tmp_path_short_diag,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,1,1,1,3.76872664625997,1,error,'LPVMPC_AGV_simulink_GRU/From Workspace1' 中，指定为 workspace 输入的结构体格式变量无效。如果输入信号是总线信号，变量必须为 MATLAB 时间序列对象的结构体。否则，变量必须包括 '时间' 和 '信号' 字段，并且 '信号' 字段必须为具有 '值' 字段的结构体。,0.5404833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
3,GRU,LPVMPC_AGV_simulink_GRU,tmp_path_short_diag,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,e:/Matlab/Simulink/S-Function_16/tools/tmp_path_short_diag.mat,2,1.5,1,5.65308996938996,1,error,'LPVMPC_AGV_simulink_GRU/From Workspace1' 中，指定为 workspace 输入的结构体格式变量无效。如果输入信号是总线信号，变量必须为 MATLAB 时间序列对象的结构体。否则，变量必须包括 '时间' 和 '信号' 字段，并且 '信号' 字段必须为具有 '值' 字段的结构体。,0.4240077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
