case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
11,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,"",182.0343773,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,NaN,NaN,13820.0269207128,0,0,0,0.01056345,0.011684965,0.012247014,0,
12,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,"",184.8372113,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,NaN,NaN,13820.0269207128,0,0,0,0.01075935,0.01200672,0.012592522,0,
13,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,"",144.842654,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,NaN,NaN,1828.91122624663,0,0,0,0.01107295,0.013671185,0.01507301,0,
14,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,"",138.6932278,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,NaN,NaN,1828.91122624663,0,0,0,0.01047905,0.012178505,0.01303411,0,
15,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,"",137.9938953,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,NaN,NaN,1828.91122624663,0,0,0,0.0104276,0.012257255,0.013337912,0,
16,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,"",130.9964458,11950,0,0,0,0,NaN,NaN,7401.32313276377,0,0,0,0.0103353,0.0114653,0.012147822,0,
17,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,"",131.2947383,11950,0,0,0,0,NaN,NaN,7401.32313276377,0,0,0,0.0103612,0.011501985,0.012104026,0,
18,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,"",130.5326609,11950,0,0,0,0,NaN,NaN,7401.32313276377,0,0,0,0.0103015,0.011403615,0.012007662,0,
19,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,"",134.0984552,14950,0.0369223854335007,0.164990837120782,0.16153481026761,0.33637760310368,NaN,NaN,1757803.81439017,0.00622073578595318,0.40133779264214,0.568561872909699,0.0072094,0.008816655,0.009634569,0,
20,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,"",124.5682992,14950,0.0182873920631081,0.101507161248676,0.0413788514972085,0.102160022803274,NaN,NaN,5015.36402527251,0,0,0,0.00676495,0.007719055,0.008068961,0,
21,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,"",124.4544132,14950,0.0182873920631081,0.101507161248676,0.0413788514972085,0.102160022803274,NaN,NaN,5015.36402527251,0,0,0,0.00675505,0.007702155,0.008073167,0,
22,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,"",93.8860043,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,NaN,NaN,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.006818,0.008276315,0.009400659,0,
23,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,"",93.5586106,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,NaN,NaN,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.0067869,0.008230175,0.009315157,0,
24,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,"",93.8744509,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,NaN,NaN,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.0068379,0.00827714,0.009390881,0,
25,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,"",86.9236401,11950,0,0,0,0,NaN,NaN,922.583804867105,0,0,0,0.00666085,0.00772346,0.008062415,0,
26,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,"",86.8475661,11950,0,0,0,0,NaN,NaN,911.227430388395,0,0,0,0.0066657,0.007701265,0.008016414,0,
27,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,"",86.8679505,11950,0,0,0,0,NaN,NaN,911.227430388395,0,0,0,0.0066573,0.0077258,0.008002951,0,
