epoch,lr,train_loss,val_loss,val_score,val_acc_main,val_acc_turn,val_turn_left_recall,val_turn_right_recall,val_acc_turn_transition,val_theta_mae_deg,val_flat_recall,val_stall_recall,val_slope_recall
1,0.0009998286624877785,0.6772152059591708,0.2887330546611693,1.1112661419102856,0.9359756097560976,0.7411585365853659,0.9443413729128015,0.934260429835651,0.4978723404255319,2.435478448867798,0.9264173703256936,0.9265734265734266,0.9498502994011976
2,0.0009993147673772868,0.22794607283945625,0.21814204941435558,0.9428019581230179,0.9527439024390244,0.7713414634146342,0.9591836734693877,0.9013906447534766,0.5255319148936171,2.280222177505493,0.9433051869722557,0.9370629370629371,0.967814371257485
3,0.000998458666866564,0.17063212151872245,0.1954555100057183,0.8621971618498181,0.9503048780487805,0.786890243902439,0.9554730983302412,0.9203539823008849,0.5531914893617021,2.4750893115997314,0.9396863691194209,0.9405594405594405,0.9655688622754491
4,0.0009972609476841365,0.14397961499934944,0.19035396626809747,0.8140284845723225,0.9548780487804878,0.7932926829268293,0.9758812615955473,0.9494310998735778,0.5574468085106383,1.6250354051589966,0.9469240048250904,0.9300699300699301,0.9700598802395209
5,0.000995722430686905,0.12548913705178658,0.19960352676670726,0.8283861385433552,0.9615853658536585,0.7945121951219513,0.9721706864564007,0.9380530973451328,0.5553191489361702,1.9054937362670898,0.9517490952955368,0.916083916083916,0.9835329341317365
6,0.0009938441702975688,0.11175793965538863,0.24719031424057192,0.8560593655193539,0.9506097560975609,0.8109756097560976,0.9647495361781077,0.8697850821744627,0.5595744680851064,1.5436890125274658,0.9360675512665863,0.8251748251748252,0.9955089820359282
7,0.0009916274537819772,0.10373966466691749,0.17460957467556,0.765514219142825,0.964329268292683,0.8060975609756098,0.974025974025974,0.9152970922882427,0.5617021276595745,1.4302153587341309,0.9481302774427021,0.916083916083916,0.9947604790419161
8,0.0009890738003669026,0.0972562029263533,0.18834252226643447,0.7483877401050039,0.9594512195121951,0.8304878048780487,0.9758812615955473,0.9620733249051833,0.574468085106383,1.6591356992721558,0.9433051869722557,0.9125874125874126,0.9895209580838323
9,0.000986184960198838,0.08819965069438965,0.19095692358365873,0.7437167387739883,0.9640243902439024,0.838719512195122,0.9851576994434137,0.9494310998735778,0.5765957446808511,1.9026451110839844,0.9559710494571774,0.916083916083916,0.9842814371257484
10,0.0009829629131445337,0.0847782270905266,0.15992852936430677,0.6779643800222139,0.9640243902439024,0.8429878048780488,0.9703153988868275,0.9532237673830595,0.5829787234042553,1.2703050374984741,0.9589867310012062,0.9335664335664335,0.9767964071856288
11,0.0009794098674340962,0.07961408221250282,0.18548749060165592,0.6159465552533175,0.9646341463414634,0.8591463414634146,0.9758812615955473,0.9532237673830595,0.6191489361702127,1.1597840785980225,0.9541616405307599,0.9125874125874126,0.9887724550898204
12,0.0009755282581475765,0.07483058767379691,0.2005117143072733,0.6341776213407146,0.963109756097561,0.8606707317073171,0.987012987012987,0.9620733249051833,0.6191489361702127,1.2514349222183228,0.9529553679131484,0.8741258741258742,0.9947604790419161
13,0.000971320745546089,0.07350540583657363,0.18893878096487465,0.6465326608727493,0.9661585365853659,0.8466463414634147,0.9814471243042672,0.9557522123893806,0.6063829787234043,0.9723604321479797,0.9553679131483716,0.9090909090909091,0.9917664670658682
14,0.0009667902132486006,0.06757036379457643,0.206431267319656,0.6770022219626719,0.9640243902439024,0.8707317073170732,0.9721706864564007,0.9582806573957017,0.6085106382978723,2.0376272201538086,0.9493365500603136,0.9020979020979021,0.9955089820359282
15,0.0009619397662556431,0.06544543024663776,0.18033595804761096,0.6616095095681105,0.9634146341463414,0.8573170731707317,0.9795918367346939,0.9532237673830595,0.5936170212765958,1.0681393146514893,0.9487334137515079,0.9090909090909091,0.9932634730538922
16,0.0009567727288213001,0.06492128804240338,0.22113353944406278,0.6935328571519273,0.964329268292683,0.8542682926829268,0.9888682745825603,0.9405815423514539,0.597872340425532,1.0153690576553345,0.9529553679131484,0.8916083916083916,0.9940119760479041
17,0.0009512926421749302,0.06233592906628753,0.22631991665537765,0.6194731373148504,0.9609756097560975,0.8710365853658537,0.9814471243042672,0.9380530973451328,0.6361702127659574,1.2064955234527588,0.9457177322074789,0.916083916083916,0.9895209580838323
18,0.0009455032620941837,0.06101936772225501,0.20427930994731625,0.6450948188295001,0.9600609756097561,0.8667682926829269,0.9833024118738405,0.9595448798988622,0.6106382978723405,0.9630295038223267,0.9439083232810616,0.9195804195804196,0.9887724550898204
