epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_abs_max_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_theta_neg_4_2_mae_deg,val_theta_neg_4_2_p95_abs_err_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.00019997482349425066,0.02703669447296099,0.6952952472577804,6.880986929067477,0.34182924032211304,1.3771864175796509,0.43242424726486206,4.672971248626709,-0.06652957946062088,0.459595263004303,0.44607171416282654,0.34182924032211304,0.34182924032211304,0.4909418821334839,0.9517198801040649,1.593561053276062,3.6595120429992676,0.9732052578361982,0.9332659251769464,0.6636363636363637
2,0.00019989930665413147,0.03630939904668624,0.6976934675620708,7.818569631377764,0.3975660800933838,1.5858056545257568,0.5183500647544861,4.580270290374756,-0.12350432574748993,0.5859729051589966,0.5875731110572815,0.3975660800933838,0.3975660800933838,0.61747145652771,0.44684332609176636,1.2617294788360596,3.8545854091644287,0.9732052578361982,0.9317492416582407,0.6363636363636364
3,0.0001997734875046456,0.023098660196834268,0.6703746159710706,5.7154257018174235,0.24683360755443573,1.089554786682129,0.39228084683418274,4.074762344360352,-0.03705919533967972,0.40249547362327576,0.4004720151424408,0.24683359265327454,0.24683359265327454,0.6617169976234436,0.28096872568130493,0.9605022668838501,3.5979151725769043,0.9732052578361982,0.9327603640040445,0.6545454545454545
4,0.0001995974293995239,0.013201316411770135,0.7153238107509632,7.131190351831341,0.34093454480171204,1.2213571071624756,0.46473944187164307,4.711032390594482,0.0934661403298378,0.47038981318473816,0.473603218793869,0.34093454480171204,0.34093454480171204,0.41606736183166504,0.46919015049934387,1.4247013330459595,4.063424587249756,0.9726996966632963,0.9337714863498483,0.6545454545454545
5,0.00019937122098932425,0.010075442895630945,0.6690247496411099,5.700431377953308,0.2657066881656647,1.039796233177185,0.44144147634506226,4.357579708099365,0.03986110910773277,0.4575917720794678,0.45218461751937866,0.2657066881656647,0.2657066881656647,0.5841869711875916,0.32486388087272644,1.0317648649215698,3.6212406158447266,0.9732052578361982,0.9347826086956522,0.6636363636363637
6,0.00019909497617679348,0.015714578180035386,0.6844021442324616,5.820441702865143,0.2651989161968231,0.9759458303451538,0.38759562373161316,4.156191349029541,0.05724385380744934,0.4026341438293457,0.40312808752059937,0.2651989161968231,0.2651989161968231,0.5067521929740906,0.6376199126243591,1.163649559020996,3.7941672801971436,0.9732052578361982,0.9342770475227502,0.6636363636363637
7,0.00019876883405951377,0.027746375994000035,0.6656453174937241,5.892121636254437,0.31104427576065063,1.1442991495132446,0.41330981254577637,4.765916347503662,-0.08979583531618118,0.42265084385871887,0.41713008284568787,0.31104427576065063,0.31104427576065063,0.3788410425186157,0.39245662093162537,1.0673413276672363,3.4521379470825195,0.9732052578361982,0.9327603640040445,0.6454545454545455
8,0.00019839295885986296,0.01434083829536341,0.7071745223295098,6.284373349901649,0.2600557506084442,0.94782555103302,0.4464828372001648,4.1249847412109375,0.06766102463006973,0.46321651339530945,0.47452512383461,0.2600557506084442,0.2600557506084442,0.4109947085380554,0.3052544593811035,1.0811121463775635,4.077803611755371,0.9732052578361982,0.9332659251769464,0.6636363636363637
9,0.00019796753984232355,0.016969743300449786,0.6587521985278694,5.5670151788176,0.2552203834056854,0.9397979974746704,0.3982886075973511,4.615731239318848,0.047514911741018295,0.4137839376926422,0.4106616675853729,0.25522035360336304,0.25522035360336304,0.49750611186027527,0.3263128697872162,1.0219380855560303,3.569819211959839,0.9732052578361982,0.9332659251769464,0.6636363636363637
10,0.00019749279121818235,0.011662559396118807,0.7053245720656022,7.059545138524575,0.3263735771179199,1.2833209037780762,0.41175734996795654,4.682544231414795,-0.02752605639398098,0.43222329020500183,0.42838409543037415,0.32637354731559753,0.32637354731559753,0.3767504394054413,0.9326965808868408,1.5732561349868774,3.9340741634368896,0.9732052578361982,0.9332659251769464,0.6636363636363637
