F_limit_hit_pct,F_peak,F_rms,F_sat595_pct,candidate_id,controller,dF_rms,domega_cmd_rms,duration_s,eomega_peak,eomega_rmse,epsi_peak,epsi_rmse,ev_peak,ev_rmse,ey_iae,ey_peak,ey_rmse,flat_false_slope_pct,j_du,left_recall_pct,main_acc_pct,n_samples,omega_cmd_peak,omega_cmd_rms,omega_limit_hit_pct,omega_sat060_pct,path_tag,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_0_pct,pred_turn_1_pct,pred_turn_m1_pct,right_recall_pct,slope_recall_pct,solve_time_max_ms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,source,t0,t1,theta_hat_step_p95_deg,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_sched_step_p95_deg,timeout_rate,turn_acc_pct,viol_rate,xy_peak,xy_rmse,zone
0,286.586879475245,152.124675279761,0,baseline_lock,baseline_lock,1.04410795651192,0.00832421885237457,190,0.0489995313948443,0.00804998082524249,0.0911957312949822,0.0331685445268731,0.126625803354214,0.0261421946494798,2.95866437674948,0.0882400253972038,0.0262369764064944,0.531016171856143,1.09023071747099,10.9800617803988,98.2058994248325,18951,0.414372925657895,0.0778355522026003,0,0,path_factory_logistics_showcase_theta10_v3,45.0530315022954,0,54.9469684977046,58.3821434225107,15.1232124953828,26.4946440821065,88.4711779448622,97.2245663384904,2.9849107,0.0214477,0.043721855,0.046583391,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,190,0.00889193470055221,0.461768949868422,2.66936574074075,0.492195246166447,0.0101751966919935,0,65.321091235291,0,1.00156496098248,0.529216472088663,all
0,286.714866964313,152.121979695939,0,uncertainty_seed101_rerun_20260622,uncertainty_seed101_rerun_20260622,1.22085141744919,0.00747761997391936,190,0.0435316885727668,0.00865292737351455,0.0909632777186213,0.0345217111082827,0.126625803354214,0.0222873300720826,3.19554943969425,0.0825419167969463,0.0276930945778461,8.88245232923003,1.49053409828816,37.7422072451559,95.2614637749987,18951,0.501639162964204,0.0775516488676524,0,0,path_factory_logistics_showcase_theta10_v3,40.6944224579178,0,59.3055775420822,50.1134504775474,30.7055036673526,19.1810458551,64.0100250626566,98.4810126582279,0.4256683,0.0216905,0.04502814,0.0479385,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,190,0.00826915041544595,0.35830334805257,2.83837932762391,0.389251618788411,0.00828202048624617,0,56.5669357817529,0,0.828724317503407,0.453818196394376,all
0,322.870507404185,189.918161803409,0,baseline_lock,baseline_lock,2.79036271955021,0.00549169816140275,44,0.110614542386844,0.0295813297600726,0.0998485782925873,0.0438205586620913,0.216934629182467,0.0565547314665031,1.13501296084005,0.0880568713344653,0.0353417318337382,18.7214611872146,7.78615426540432,56.4476885644769,90.9905768788784,4351,0.218844519817451,0.0606467232715493,0,0,path_closed_loop_long_updown_theta10_v1,19.2599402436222,1.86164100206849,78.8784187543094,32.8660078142956,35.9457595954953,31.1882325902091,77.0601336302895,94.0431654676259,0.7123771,0.0210086,0.045661255,0.0497255299999999,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,44,0.0349999999999998,0.794694392365761,4.187608,1.16142933202247,0.0410589127817286,0,46.6789243851988,0,1.0324359436376,0.759372661078766,all
0,318.859462302155,190.070958698532,0,uncertainty_seed101_rerun_20260622,uncertainty_seed101_rerun_20260622,3.22660472162427,0.00417366671650134,44,0.102170226044648,0.0310157446512076,0.105834017137548,0.0450153637640199,0.224621761411753,0.0618189727805997,0.95457921470975,0.0879646929756186,0.0320073177605506,21.8036529680365,10.4109954491019,48.9051094890511,90.0712479889681,4351,0.154304981316172,0.0625190049664881,0,0,path_closed_loop_long_updown_theta10_v1,19.3518731326132,1.93059066881177,78.717536198575,30.7515513675017,37.692484486325,31.5559641461733,75.2783964365256,93.0647482014388,0.3111416,0.0208831,0.02234607,0.023351537,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,44,0.0300140677802659,0.816997910687637,4.66104375,1.20352040420546,0.0423851912846618,0,42.656860491841,0,0.978660611909591,0.769554098918744,all
0,224.704391134481,157.137673102785,0,baseline_lock,baseline_lock,2.30721172899333,0.0218318199973113,52,0.100119389051316,0.0219126603467524,0.0946014381012255,0.0415952419404275,0.129934566927505,0.0355769981358947,1.40274657735239,0.12690287779986,0.0405837714490269,12.323064113239,5.32370259076876,46.6309341500766,94.1370607649,5151,1.35086687840308,0.0792461283900394,0,0.07765482430596,path_closed_loop_sharp_turn_transition_theta10_v1,23.4323432343234,0,76.5676567656766,36.2065618326539,36.3036303630363,27.4898078043098,91.3473423980222,96.1012658227848,0.2452377,0.0208541,0.022550575,0.023888691,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,52,0.016546320359511,0.600177618700356,3.32314074074074,0.712585144187336,0.0240934768744909,0,48.8448844884488,0,0.679181139413126,0.513652824986013,all
0,224.828763831712,157.028974018472,0,uncertainty_seed101_rerun_20260622,uncertainty_seed101_rerun_20260622,1.47038075883971,0.00733506882167034,52,0.083284066322094,0.0162060890697367,0.0869385272443504,0.0342259227703392,0.129934566927505,0.031948066361653,0.800385447790951,0.0854036133396382,0.0291805058527429,19.9833472106578,2.16207337920066,81.2404287901991,91.9821393904096,5151,0.287493943666123,0.0730541379460078,0,0,path_closed_loop_sharp_turn_transition_theta10_v1,22.0151426907397,0,77.9848573092603,31.6055134925257,40.9629198213939,27.4315666860804,92.7070457354759,95.620253164557,0.2436315,0.0208717,0.022376235,0.023584864,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0,52,0.015833532107931,0.482994837905639,3.49777719907408,0.620938322958999,0.0242215223948487,0,62.7062706270627,0,0.640883844073009,0.438299833125631,all
0,294.250642225123,189.883495876499,0,s01_lr13_select_edges_flat_seed21,s01_lr13_select_edges_flat_seed21,3.92993406515919,0.00449370899994382,44,0.0696078349809272,0.0205604162853499,0.0724364988716894,0.0281540281588433,0.165429352757441,0.0537520758616683,0.750540013358227,0.0907723786920552,0.0287136816720232,15.5251141552511,15.4444019499192,22.992700729927,91.6341071018157,4351,0.192168097659363,0.0554793582058006,0,0,NaN,19.9494369110549,1.42495977936107,78.625603309584,42.6108940473454,22.6614571362905,34.7276488163641,78.3964365256125,94.5323741007194,3.5942718,0.0254818,0.03927936,0.048797196,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\01_closed_loop_runs\path_closed_loop_long_updown_theta10_v1\uncertainty_stability_summary.csv,0,44,0.029293429622512,0.837245076910447,4.80011520000001,1.13050550725814,0.0425036103842044,0,46.0124109400138,0,0.712111862187632,0.516072132701482,all
0,295.31083937732,189.733566540561,0,s01_lr13_select_edges_flat_seed42,s01_lr13_select_edges_flat_seed42,2.4467080478151,0.0062760990263063,44,0.117425205162919,0.0282782109212539,0.10584844339882,0.0453236773738014,0.214400800855816,0.0622298669848306,1.0874773196555,0.0921041951415595,0.0368009529831549,31.3926940639269,5.98641966066215,64.8418491484185,90.7147782119053,4351,0.167440790566673,0.0622769188956644,0,0,NaN,16.318087795909,0.459664444955183,83.2222477591358,33.6704205929671,43.7600551597334,22.5695242472995,78.619153674833,96.2877697841727,0.5448275,0.0245926,0.044317045,0.050598506,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\01_closed_loop_runs\path_closed_loop_long_updown_theta10_v1\uncertainty_stability_summary.csv,0,44,0.0254988547309427,0.964279247905629,5.69683125,1.29226178297695,0.0360298957879151,0,50.0114916111239,0,1.13831891689397,0.817228220801878,all
0,313.374016627646,190.022879712509,0,s01_lr13_select_edges_flat_seed101,s01_lr13_select_edges_flat_seed101,4.43263359391319,0.0168494855895404,44,0.0653335180161124,0.0185070414467639,0.0758990607522245,0.032807790614647,0.203105650751332,0.0559366223420038,1.81859793146564,0.232501968391307,0.0743495708792536,12.3287671232877,19.6485244830524,54.5012165450122,90.2321305447024,4351,0.836404828534337,0.055474814456004,0,0.0229832222477591,NaN,22.2247759135831,1.99954033555504,75.7756837508619,35.302229372558,40.7492530452769,23.948517582165,78.619153674833,91.7697841726619,0.6315701,0.0230549,0.047543665,0.0532984189999999,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\01_closed_loop_runs\path_closed_loop_long_updown_theta10_v1\uncertainty_stability_summary.csv,0,44,0.0349999999999998,0.807518783758721,4.80011520000001,1.14099092677204,0.0435639285732821,0,45.1160652723512,0,0.797796231848698,0.591500691614156,all
0,223.992150270889,157.014677930197,0,s01_lr13_select_edges_flat_seed21,s01_lr13_select_edges_flat_seed21,1.50000148295781,0.00314188194967206,52,0.084891155442451,0.0189456265011123,0.0808952200318611,0.0309641735071299,0.129934566927505,0.0322869332508827,0.732830331378158,0.0550504984333886,0.0205408189293081,12.40632805995,2.2500143202978,73.7366003062787,94.9524364201126,5151,0.150997524046106,0.0795112352116028,0,0,NaN,22.5781401669579,0,77.4218598330421,23.4323432343234,36.7889730149486,39.778683750728,100,97.1898734177215,0.3789432,0.0218859,0.04383494,0.049628466,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\01_closed_loop_runs\path_closed_loop_sharp_turn_transition_theta10_v1\uncertainty_stability_summary.csv,0,52,0.016443859339017,0.512503661472078,3.564,0.6058605278594,0.0214878515704513,0,56.6491943311978,0,0.600367344231753,0.370727090242071,all
