run_id,candidate_id,seed,stability_label,checkpoint_file,onnx_file,sample_file,export_status,consistency_json,consistency_status,consistency_pass,selected_for_closed_loop
s01_lr13_select_edges_flat,s01_lr13_select_edges_flat_seed21,21,robust_pass,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed21\s01_lr13_select_edges_flat_seed21.onnx,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed21\s01_lr13_select_edges_flat_seed21_pytorch_reference.mat,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed21\s01_lr13_select_edges_flat_seed21_onnxruntime_consistency.json,ok,true,true
s01_lr13_select_edges_flat,s01_lr13_select_edges_flat_seed42,42,robust_pass,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\01_seed21_42_stability_search\s01_lr13_select_edges_flat_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed42\s01_lr13_select_edges_flat_seed42.onnx,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed42\s01_lr13_select_edges_flat_seed42_pytorch_reference.mat,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed42\s01_lr13_select_edges_flat_seed42_onnxruntime_consistency.json,ok,true,true
s01_lr13_select_edges_flat,s01_lr13_select_edges_flat_seed101,101,robust_pass,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\03_seed101_confirmation\s01_lr13_select_edges_flat_seed101\modern_tcn_seed101.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed101\s01_lr13_select_edges_flat_seed101.onnx,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed101\s01_lr13_select_edges_flat_seed101_pytorch_reference.mat,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\14_uncertainty_stability_optimization\04_closed_loop_multiseed\00_exported_onnx\s01_lr13_select_edges_flat_seed101\s01_lr13_select_edges_flat_seed101_onnxruntime_consistency.json,ok,true,true
