candidate_id,n_paths,J_control,rank_by_J_control,closed_loop_v2_status,closed_loop_v2_failures,ey_rmse_mean,xy_rmse_mean,epsi_rmse_mean,j_du_mean,omega_cmd_rms_mean,viol_rate_mean,theta_mae_deg_mean,main_acc_pct_mean,turn_acc_pct_mean
uncertainty_seed101_rerun_20260622,3,0.94411711953914,1,pass,none,0.0296269727303799,0.553890709479584,0.0379209992142139,4.68786764219691,0.0710415972600494,0,0.552765365548615,92.4382837181255,53.9766889668855
baseline_lock,3,1,2,pass,reference,0.0340541598964198,0.600747319384481,0.0395281150431306,4.73336252454802,0.0725761346213963,0,0.618880320311513,94.4445123562036,53.6149667029795
s01_lr13_select_edges_flat_seed101,3,1.10544617766553,3,pass,none,0.0443527683215392,0.438577859945771,0.0318753085183082,7.92993554361687,0.0735221320341654,0,0.568339069650863,93.9049157726841,48.288937528775
s01_lr13_select_edges_flat_seed21,3,1.14311774157566,4,pass,none,0.0330587894326381,0.669326838938871,0.0422486992278023,7.32090196230489,0.0736774256778956,0,0.660291849809941,94.5245033029754,53.4033398676364
s01_lr13_select_edges_flat_seed42,3,1.17496689656309,5,pass,none,0.040252955137561,0.814128733685958,0.0533604549648976,4.40231959021702,0.0767576173370662,0,0.728585484660016,93.6276556399632,51.3095397985223
