controller,path_name,seed,metric,n_rows,n_disturbance_levels,n_valid_levels,value_min,value_max,value_range,rel_range,invariant_flag,check_status
Mamba2,path_industrial,1,ey_rmse,3,3,3,0.0134277818887654,0.0135631132366261,0.000135331347860701,0.000135331347860701,0,checked
Mamba2,path_industrial,1,epsi_rmse,3,3,3,0.0370238505434137,0.039299520584602,0.0022756700411883,0.0022756700411883,0,checked
Mamba2,path_industrial,1,ev_rmse,3,3,3,0.0491983059656787,0.0516594173806842,0.0024611114150055,0.0024611114150055,0,checked
Mamba2,path_industrial,1,eomega_rmse,3,3,3,0.0190879072225409,0.0220105064123571,0.0029225991898162,0.0029225991898162,0,checked
Mamba2,path_industrial,1,j_du,3,3,3,12626.6869790255,1793094.28294439,1780467.59596536,1.01336068204205,0,checked
Mamba2,path_industrial,1,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_industrial,2,ey_rmse,3,3,3,0.0134830474981147,0.0135871008752042,0.0001040533770895,0.0001040533770895,0,checked
Mamba2,path_industrial,2,epsi_rmse,3,3,3,0.0365483525712367,0.0394055670697358,0.0028572144984991,0.0028572144984991,0,checked
Mamba2,path_industrial,2,ev_rmse,3,3,3,0.0492033093483842,0.0513057979755117,0.0021024886271275,0.0021024886271275,0,checked
Mamba2,path_industrial,2,eomega_rmse,3,3,3,0.0193512023346472,0.0208494874689318,0.0014982851342846,0.0014982851342846,0,checked
Mamba2,path_industrial,2,j_du,3,3,3,12509.2704115839,1481910.33881844,1469401.06840686,1.03210352308746,0,checked
Mamba2,path_industrial,2,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_industrial,3,ey_rmse,3,3,3,0.013387542500942,0.0134888679732492,0.0001013254723072,0.0001013254723072,0,checked
Mamba2,path_industrial,3,epsi_rmse,3,3,3,0.0362702112081496,0.0395057472474062,0.0032355360392566,0.0032355360392566,0,checked
Mamba2,path_industrial,3,ev_rmse,3,3,3,0.0492065215463955,0.0513961875209752,0.0021896659745797,0.0021896659745797,0,checked
Mamba2,path_industrial,3,eomega_rmse,3,3,3,0.0194536691992369,0.0212570537942894,0.0018033845950525,0.0018033845950525,0,checked
Mamba2,path_industrial,3,j_du,3,3,3,12503.7548652992,1705783.98187822,1693280.22701292,1.2144685353523,0,checked
Mamba2,path_industrial,3,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_s_curve,1,ey_rmse,3,3,3,0.0448797593025739,0.0450063423145655,0.000126583011991602,0.000126583011991602,0,checked
Mamba2,path_s_curve,1,epsi_rmse,3,3,3,0.0439180147476069,0.0451806746655369,0.00126265991793,0.00126265991793,0,checked
Mamba2,path_s_curve,1,ev_rmse,3,3,3,0.00538050175105019,0.00628096213748932,0.000900460386439129,0.000900460386439129,0,checked
Mamba2,path_s_curve,1,eomega_rmse,3,3,3,0.0446718621094689,0.0457108050003795,0.0010389428909106,0.0010389428909106,0,checked
Mamba2,path_s_curve,1,j_du,3,3,3,551.098011716401,4799.91252206216,4248.81451034576,2.20524761215702,0,checked
Mamba2,path_s_curve,1,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_s_curve,2,ey_rmse,3,3,3,0.0448954526195601,0.0449595445938045,6.40919742444027e-05,6.40919742444027e-05,0,checked
Mamba2,path_s_curve,2,epsi_rmse,3,3,3,0.0441806780815069,0.0448655487278795,0.000684870646372598,0.000684870646372598,0,checked
Mamba2,path_s_curve,2,ev_rmse,3,3,3,0.00541754401652841,0.00613763543258536,0.000720091416056949,0.000720091416056949,0,checked
Mamba2,path_s_curve,2,eomega_rmse,3,3,3,0.0448514137474959,0.0455361387377422,0.000684724990246299,0.000684724990246299,0,checked
Mamba2,path_s_curve,2,j_du,3,3,3,559.457315008245,3986.86370018414,3427.40638517589,1.22501895279256,0,checked
Mamba2,path_s_curve,2,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_s_curve,3,ey_rmse,3,3,3,0.0448861501820876,0.044982220472545,9.60702904573979e-05,9.60702904573979e-05,0,checked
Mamba2,path_s_curve,3,epsi_rmse,3,3,3,0.043946954379085,0.0450436609676559,0.0010967065885709,0.0010967065885709,0,checked
Mamba2,path_s_curve,3,ev_rmse,3,3,3,0.00538414737257053,0.00617275687646998,0.00078860950389945,0.00078860950389945,0,checked
Mamba2,path_s_curve,3,eomega_rmse,3,3,3,0.0446877575380564,0.0456307859923805,0.000943028454324098,0.000943028454324098,0,checked
Mamba2,path_s_curve,3,j_du,3,3,3,551.571892554726,6871.00322166725,6319.43132911252,4.10916636269542,0,checked
Mamba2,path_s_curve,3,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,1,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,1,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,1,ev_rmse,3,3,3,0.0949257395098646,0.0973097167356081,0.0023839772257435,0.0023839772257435,0,checked
Mamba2,path_slope,1,eomega_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,1,j_du,3,3,3,6262.34409293813,938681.160494214,932418.816401276,0.994683371119962,0,checked
Mamba2,path_slope,1,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,2,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,2,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,2,ev_rmse,3,3,3,0.0949251950317765,0.0972439175426838,0.0023187225109073,0.0023187225109073,0,checked
Mamba2,path_slope,2,eomega_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,2,j_du,3,3,3,6260.58741885155,971506.080983372,965245.49356452,1.10440261390563,0,checked
Mamba2,path_slope,2,viol_rate,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,3,ey_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
Mamba2,path_slope,3,epsi_rmse,3,3,3,0,0,0,0,0,flat_zero_ignored
