seed,failure_type,closed_loop_transfer_risk,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,J_control,closed_loop_v2_status,closed_loop_v2_failures
21,edge_and_flat_drift,high,0.960022209883398,0.506662965019434,0.451564828614009,0.877005279064178,2.43688559532166,7.10931348800659,0.933862433862434,0.6875,0.976727272727273,1.14311774157566,pass,none
42,edge_and_flat_drift,high,0.967240421987785,0.564408661854525,0.497764530551416,0.875044822692871,3.42140817642212,5.89323759078979,0.94047619047619,0.697916666666667,0.984,1.17496689656309,pass,none
101,success_pattern_seed101,moderate,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727,0.94411711953914,pass,none
