seed,loss_mode,s_main,s_turn,s_theta,weight_main,weight_turn,weight_theta,raw_s_main,raw_s_turn,raw_s_theta,bounded_s_prior,s_range,s_prior_lambda,offline_v2_score,acc_main,stall_recall,slope_recall,theta_edge_p95_abs_err,flat_peak_theta_error
21,uncertainty_weighting,-2.7003219127655,-2.44605898857117,-3.44199204444885,14.8845224380493,11.5427675247192,31.2491455078125,NaN,NaN,NaN,NaN,NaN,NaN,1.09351261643159,0.960022209883398,0.6875,0.976727272727273,2.43688559532166,7.10931348800659
42,uncertainty_weighting,-2.99258184432983,-2.87150406837463,-4.98441743850708,19.9370899200439,17.6635646820068,146.118423461914,NaN,NaN,NaN,NaN,NaN,NaN,1.07901896581399,0.967240421987785,0.697916666666667,0.984,3.42140817642212,5.89323759078979
101,uncertainty_weighting,-3.26127862930298,-3.09693551063538,-6.90960121154785,26.0828647613525,22.1300296783447,1001.84759521484,NaN,NaN,NaN,NaN,NaN,NaN,0.970838817749306,0.967518045530261,0.697916666666667,0.979272727272727,2.27067041397095,5.24426937103271
