controller,tracking_rank_sum,perception_rank_sum,control_rank_sum,overall_rank_sum,overall_rank
a2_freeze_early_seed21,13,6,6,25,1
a2_freeze_early_seed42,10,7,8,25,2
baseline_lock,13,5,10,28,3
