seed,source_run_tag,candidate_id,checkpoint_file,onnx_file,sample_file,export_status,consistency_json,consistency_status,consistency_pass,selected_for_closed_loop
21,uncertainty_anchor_same_recipe_seed21,ua_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed21\modern_tcn_seed21.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed21\ua_seed21.onnx,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed21\ua_seed21_pytorch_reference.mat,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed21\ua_seed21_onnxruntime_consistency.json,ok,true,true
42,uncertainty_anchor_same_recipe_seed42,ua_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\01_same_recipe_multiseed\uncertainty_anchor_same_recipe_seed42\modern_tcn_seed42.pt,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed42\ua_seed42.onnx,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed42\ua_seed42_pytorch_reference.mat,ok,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\12_uncertainty_replacement_qualification\03_closed_loop_representatives\00_exported_onnx\ua_seed42\ua_seed42_onnxruntime_consistency.json,ok,true,true
