label,candidate_id,source,J_control,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall,ey_rmse,xy_rmse,epsi_rmse,j_du,omega_cmd_rms
baseline_lock,baseline_lock,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\03_rerank_existing_experiments\candidate_metric_matrix.csv,1,0.966962798445308,0.578845086063298,0.497764530551416,0.679394781589508,2.75505685806274,5.3357400894165,0.96957671957672,0.71875,0.974909090909091,0.0340541598964198,0.600747319384481,0.0395281150431306,4.73336252454802,0.0725761346213963
anchor_seed101,uncertainty_seed101_rerun_20260622,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\05_sandbox_closed_loop_if_needed\03_formal_validation\formal_validation_path_metrics.csv,0.94411711953914,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727,0.0296269727303799,0.553890709479584,0.0379209992142139,4.68786764219691,0.0710415972600494
stability_14_seed21,s01_lr13_select_edges_flat_seed21,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed21\modern_tcn_seed21_summary.csv,1.14311774157566,0.960022209883398,0.506662965019434,0.451564828614009,0.877005279064178,2.43688559532166,7.10931348800659,0.933862433862434,0.6875,0.976727272727273,0.0330587894326381,0.669326838938871,0.0422486992278023,7.32090196230489,0.0736774256778956
stability_14_seed42,s01_lr13_select_edges_flat_seed42,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed42\modern_tcn_seed42_summary.csv,1.17496689656309,0.967240421987785,0.564408661854525,0.497764530551416,0.875044822692871,3.42140817642212,5.89323759078979,0.94047619047619,0.697916666666667,0.984,0.040252955137561,0.814128733685958,0.0533604549648976,4.40231959021702,0.0767576173370662
stability_14_seed101,uncertainty_seed101_rerun_20260622,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\01_loss_optimization\uncertainty_seed101_rerun_20260622\modern_tcn_seed101_summary.csv,0.94411711953914,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727,0.0296269727303799,0.553890709479584,0.0379209992142139,4.68786764219691,0.0710415972600494
