epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.001999657324975557,0.17372027008731694,0.3959757967110953,16.5174002031097,5.707337379455566,11.471647262573242,3.8061883449554443,11.082144737243652,5.707337379455566,5.707337379455566,5.152562141418457,1.2803181409835815,0.9772497472194136,0.9292214357937311,0.5818181818181818
2,0.0019986295347545736,0.07009040586870845,0.34894106813581216,10.936898944688222,3.437213897705078,8.595786094665527,-1.1348910331726074,9.427550315856934,3.437213897705078,3.437213897705078,3.556164503097534,5.393460273742676,0.9772497472194136,0.9292214357937311,0.5818181818181818
3,0.001996917333733128,0.02257282718991578,0.3443776759026145,8.668847021342353,2.2441301345825195,7.038833141326904,-1.4564486742019653,6.43596887588501,2.2441298961639404,2.2441298961639404,3.5743408203125,3.576953649520874,0.9772497472194136,0.9292214357937311,0.5818181818181818
4,0.001994521895368273,0.03258866438893238,0.3456029552058576,7.378049261781461,2.5038275718688965,5.540483474731445,1.5177947282791138,5.392069339752197,2.5038275718688965,2.5038275718688965,0.9929192066192627,2.43782377243042,0.9772497472194136,0.9292214357937311,0.5818181818181818
5,0.00199144486137381,0.03796333646924074,0.34509418273478354,8.361787172431114,2.9922595024108887,5.503194332122803,3.2168784141540527,5.495162010192871,2.9922595024108887,2.9922595024108887,0.6774343848228455,0.7257066369056702,0.9772497472194136,0.9292214357937311,0.5818181818181818
6,0.0019876883405951376,0.03456417269945257,0.35974489530610604,11.1044485394519,3.8658509254455566,7.097297191619873,-4.522862911224365,7.039482593536377,3.865851402282715,3.865851402282715,0.544421374797821,0.8724271655082703,0.9772497472194136,0.9292214357937311,0.5818181818181818
7,0.0019832549075639544,0.04928509902581747,0.34824714938478113,8.82269129398071,1.805578351020813,7.984048366546631,-0.2358132302761078,7.171065807342529,1.8055784702301025,1.8055784702301025,1.4451402425765991,0.7215451002120972,0.9772497472194136,0.9292214357937311,0.5818181818181818
8,0.001978147600733805,0.022315533826028786,0.35313925629197285,11.660300128144677,2.329165458679199,10.226520538330078,-0.795147180557251,9.856505393981934,2.3291656970977783,2.3291656970977783,3.637272596359253,3.7488746643066406,0.9772497472194136,0.9292214357937311,0.5818181818181818
9,0.001972369920397676,0.02233805149809373,0.33371630955875464,5.325781804443074,1.4871373176574707,4.288768291473389,1.32533860206604,4.302457809448242,1.4871374368667603,1.4871374368667603,0.5859485864639282,1.0871150493621826,0.9772497472194136,0.9292214357937311,0.5818181818181818
10,0.0019659258262890674,0.024207202506812877,0.3598976767159569,13.642280969261103,3.2104241847991943,10.452545166015625,-3.625938892364502,10.088276863098145,3.2104241847991943,3.2104241847991943,1.5553866624832153,0.7027826309204102,0.9772497472194136,0.9292214357937311,0.5818181818181818
11,0.0019588197348681924,0.025728538960039952,0.33765292038088257,4.178373102669834,1.4449101686477661,3.201516628265381,-1.239001989364624,3.743464708328247,1.4449100494384766,1.4449100494384766,0.7503724098205566,0.7749806642532349,0.9772497472194136,0.9292214357937311,0.5818181818181818
12,0.001951056516295153,0.07194861271337703,0.38109793101933653,18.794556462746,3.486747980117798,15.828668594360352,-2.529751777648926,15.16604995727539,3.486747980117798,3.486747980117798,4.733542442321777,2.459125280380249,0.9772497472194136,0.9292214357937311,0.5818181818181818
13,0.001942641491092178,0.0457881002640111,0.34334485662236613,7.649685735455965,2.4644901752471924,5.364759922027588,-2.7106804847717285,5.323368072509766,2.4644904136657715,2.4644904136657715,0.8427162766456604,0.9433718919754028,0.9772497472194136,0.9292214357937311,0.5818181818181818
14,0.0019335804264972011,0.03221904475394131,0.3483201931593271,7.377650178171209,2.6318273544311523,5.62468957901001,1.0754890441894531,5.46555757522583,2.6318273544311523,2.6318273544311523,1.1625797748565674,0.9484221339225769,0.9772497472194136,0.9292214357937311,0.5818181818181818
