label,n,mae_deg,p95_abs_err_deg,bias_deg
flat,756,0.8496195673942566,2.034533739089966,-0.442180335521698
stall,96,10.328178405761719,26.30199432373047,4.0200629234313965
slope,2750,0.5523284077644348,1.5113661289215088,-0.032896630465984344
