controller,n_cases,ey_rmse_mean,ey_rmse_std,ey_rmse_median,ey_rmse_p25,ey_rmse_p75,epsi_rmse_mean,epsi_rmse_std,epsi_rmse_median,epsi_rmse_p25,epsi_rmse_p75,ev_rmse_mean,ev_rmse_std,ev_rmse_median,ev_rmse_p25,ev_rmse_p75,eomega_rmse_mean,eomega_rmse_std,eomega_rmse_median,eomega_rmse_p25,eomega_rmse_p75,j_du_mean,j_du_std,j_du_median,j_du_p25,j_du_p75,viol_rate_mean,viol_rate_std,viol_rate_median,viol_rate_p25,viol_rate_p75,timeout_rate_mean,timeout_rate_std,timeout_rate_median,timeout_rate_p25,timeout_rate_p75
Mamba2,9,0.0194522810863926,0.0199404329546998,0.0134830474981147,0,0.0448483503018122,0.0277906226196426,0.0209367600337546,0.0394055670697358,0,0.0438060758459258,0.0498393075694432,0.0387730487640768,0.0492033093483842,0.00541754401652841,0.0949250917252565,0.0213362683250874,0.0194211360106821,0.0193512023346472,0,0.044610360312397,6453.91076665539,5195.2477543339,6261.13415826222,559.457315008245,12503.7548652992,0,0,0,0,0,0,0,0,0,0
GRU,9,0.0194201580774375,0.0195284573036537,0.0141094530243384,0,0.044151021207974,0.0306725901270046,0.0235065628042286,0.0404286682591399,0,0.0515891021218738,0.0302841648520804,0.0201717397993707,0.0326742296602938,0.00588896417191529,0.0522893007240321,0.021870852214773,0.0183094523353928,0.0234131552714541,0,0.0421994013728651,7683.42042657442,5196.61414253791,7401.32313276377,1828.91122624663,13820.0269207128,0,0,0,0,0,0,0,0,0,0
IMU,9,0.0257007541468282,0.0234218191782972,0.0182873920631081,0,0.052603205920579,0.0422940617157769,0.0495180518378054,0.0413788514972085,0,0.0454513473933215,0.0954699814080288,0.0802810431267641,0.0884598390381929,0.00535993672918026,0.182365852139284,0.0239426359255421,0.0213696237908983,0.0174320108416554,0,0.0431359375548038,196947.143610131,585324.133890509,911.227430388395,648.23712827233,5015.36402527251,0.000746980870684709,0.00205425661951024,0,0,0.000167364016736402,0,0,0,0,0
