controller,metric,n_groups_checked,n_invariant,invariant_ratio
Mamba2,ey_rmse,2,0,0
Mamba2,epsi_rmse,2,0,0
Mamba2,ev_rmse,3,0,0
Mamba2,eomega_rmse,2,0,0
Mamba2,j_du,3,0,0
Mamba2,viol_rate,0,0,NaN
GRU,ey_rmse,2,2,1
GRU,epsi_rmse,2,2,1
GRU,ev_rmse,3,3,1
GRU,eomega_rmse,2,2,1
GRU,j_du,3,3,1
GRU,viol_rate,0,0,NaN
IMU,ey_rmse,2,1,0.5
IMU,epsi_rmse,2,1,0.5
IMU,ev_rmse,3,1,0.333333333333333
IMU,eomega_rmse,2,1,0.5
IMU,j_du,3,1,0.333333333333333
IMU,viol_rate,2,1,0.5
