controller,seed,n_paths,J_control_vs_historical_champion,ey_rmse_mean,xy_rmse_mean,epsi_rmse_mean,j_du_mean,omega_cmd_rms_mean,theta_mae_deg_mean,main_acc_pct_mean,turn_acc_pct_mean,source_file,notes
ModernTCN_turn_seed101_champion,101,3,1,0.0293881212343404,0.599794482657117,0.0385927891357143,3.6807764852036,0.0713431735945118,0.528033783333603,94.7622753160075,54.3189991714089,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\09_closed_loop\modern_multiseed_l020_tt25_full\modern_multiseed_summary.csv,历史 ModernTCN turn champion 多 seed 闭环；以同文件 seed101 champion 为本地 reference，不与 current_v2 J_control 混排。
ModernTCN_turn_seed303_multiseed,303,3,1.27952447294865,0.0294623008936542,0.628339829047264,0.0434454082417661,8.12496026717823,0.0723679088180799,0.643644049249354,92.2607491940465,52.5600181237928,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\09_closed_loop\modern_multiseed_l020_tt25_full\modern_multiseed_summary.csv,历史 ModernTCN turn champion 多 seed 闭环；以同文件 seed101 champion 为本地 reference，不与 current_v2 J_control 混排。
ModernTCN_turn_seed101_multiseed,101,3,1.29370208815488,0.040415590389661,0.527667871849468,0.0381920343266275,7.68622455854488,0.081024719017315,0.723840010480078,93.0551789082121,52.4460777391684,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\09_closed_loop\modern_multiseed_l020_tt25_full\modern_multiseed_summary.csv,历史 ModernTCN turn champion 多 seed 闭环；以同文件 seed101 champion 为本地 reference，不与 current_v2 J_control 混排。
ModernTCN_turn_seed202_multiseed,202,3,19.3899854482782,0.25128876728378,3.66289036789894,0.110479510804208,279.339923361196,0.252415961793254,0.72935023514994,90.8022373463787,48.9603894518986,E:\Matlab\Simulink\S-Function_16\results\paper\agv_model_parameter_correction_workflow\09_closed_loop\modern_multiseed_l020_tt25_full\modern_multiseed_summary.csv,历史 ModernTCN turn champion 多 seed 闭环；以同文件 seed101 champion 为本地 reference，不与 current_v2 J_control 混排。
