epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_flat_abs_p95_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.001999229036240723,0.17613438596295436,0.42814702666444654,10.595284084682135,5.663050174713135,15.131460189819336,1.8248257637023926,14.697760581970215,5.663050174713135,5.663050174713135,6.3466596603393555,1.3020159006118774,0.9732052578361982,0.9287158746208292,0.5727272727272728
2,0.001996917333733128,0.0408836805999643,0.39057279184566107,5.8942858087979255,2.9253575801849365,8.87462329864502,-0.5527932643890381,8.788272857666016,2.9253573417663574,2.9253573417663574,1.9281625747680664,4.381359100341797,0.9721941354903944,0.9287158746208292,0.5636363636363636
3,0.0019930684569549263,0.055907678357756375,0.51611273323682,14.157806362493673,6.113156795501709,22.093896865844727,-3.6945815086364746,19.41196060180664,6.113156795501709,6.113156795501709,7.887089729309082,11.85035228729248,0.9721941354903944,0.9302325581395349,0.5727272727272728
4,0.0019876883405951376,0.03963463136487973,0.4522536435250204,7.456596567250425,3.5998690128326416,10.19926929473877,-3.1415727138519287,9.909358024597168,3.5998687744140625,3.5998687744140625,3.809795618057251,3.0435872077941895,0.9726996966632963,0.9302325581395349,0.5818181818181818
5,0.0019807852804032302,0.028093474950797125,0.44529654011808345,2.6379204163692465,1.2483454942703247,3.666827440261841,0.29057055711746216,3.736727476119995,1.2483453750610352,1.2483453750610352,0.8619638085365295,0.5051664113998413,0.9732052578361982,0.9307381193124368,0.5636363636363636
6,0.0019723699203976763,0.02654580628440771,0.42967506676641104,2.786279024107731,1.2437525987625122,4.154850006103516,-0.1827058494091034,4.11443567276001,1.2437524795532227,1.2437524795532227,1.8630865812301636,0.7025900483131409,0.9737108190091001,0.9317492416582407,0.5727272727272728
7,0.001962455236453647,0.04451987182676876,0.4772928191388461,2.8034957056944503,1.4382539987564087,3.275233030319214,-1.1183847188949585,3.683685541152954,1.4382538795471191,1.4382538795471191,1.3716039657592773,1.5873820781707764,0.9726996966632963,0.929726996966633,0.5727272727272728
8,0.0019510565162951536,0.026781801715276228,0.4738827215769414,7.096934548472315,2.7560391426086426,11.889963150024414,-0.8212897777557373,11.146724700927734,2.7560391426086426,2.7560391426086426,3.797689199447632,2.681553602218628,0.9752275025278059,0.9312436804853387,0.5818181818181818
9,0.0019381913359224842,0.019889536964194827,0.5030195360477822,6.13607897138955,1.7514290809631348,10.812448501586914,-1.4821237325668335,9.769336700439453,1.7514290809631348,1.7514290809631348,2.7942962646484375,1.5783354043960571,0.9726996966632963,0.929726996966633,0.5727272727272728
10,0.0019238795325112867,0.031558739593162424,0.5178335759830186,5.248896770515209,2.9800665378570557,5.90140438079834,2.5500710010528564,5.8984198570251465,2.9800662994384766,2.9800662994384766,1.2072163820266724,4.577950954437256,0.9742163801820021,0.9317492416582407,0.5818181818181818
