metric,mean,std,min,max
acc_main,0.963208685162847,0,0.963208685162847,0.963208685162847
acc_turn,0.898069963811821,0,0.898069963811821,0.898069963811821
acc_turn_pure,0.931022285107888,0,0.931022285107888,0.931022285107888
acc_turn_transition,0.707566462167689,0,0.707566462167689,0.707566462167689
theta_mae_deg,0.50151362615966,0,0.50151362615966,0.50151362615966
flat_recall,0.956294846705806,0,0.956294846705806,0.956294846705806
stall_recall,0.861209964412811,0,0.861209964412811,0.861209964412811
slope_recall,0.989347536617843,0,0.989347536617843,0.989347536617843
uphill_recall,0.98590021691974,0,0.98590021691974,0.98590021691974
downhill_recall,0.994827586206897,0,0.994827586206897,0.994827586206897
