seed,metric,matlab_value,python_value,abs_error,pass
73,acc_main,0.963208685162847,0.963208685162847,0,1
73,acc_turn,0.898069963811821,0.898069963811821,0,1
73,acc_turn_pure,0.931022285107888,0.931022285107888,0,1
73,acc_turn_transition,0.707566462167689,0.707566462167689,0,1
73,theta_mae_deg,0.50151362615966,0.501513540744781,8.54148783924202e-08,1
73,flat_recall,0.956294846705806,0.956294846705806,0,1
73,stall_recall,0.861209964412811,0.861209964412811,0,1
73,slope_recall,0.989347536617843,0.989347536617843,0,1
73,uphill_recall,0.98590021691974,0.98590021691974,0,1
73,downhill_recall,0.994827586206897,0.994827586206897,0,1
