run_tag,lambda_transition_focal,lambda_stall_focal,lambda_theta_smooth,theta_smooth_status,eligible,promotable,rank_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,theta_edge_p95_abs_err,flat_peak_theta_error,model,seed,best_epoch,main_confidence_mean,main_low_conf_0p60_ratio,main_low_conf_0p70_ratio,turn_confidence_mean,turn_low_conf_0p60_ratio,turn_low_conf_0p70_ratio,turn_right_recall,turn_straight_recall,turn_left_recall,theta_abs_le_8_mae_deg,theta_abs_le_8_rmse_deg,theta_abs_le_8_p95_abs_err_deg,theta_abs_le_8_max_abs_err_deg,theta_abs_le_8_bias_deg,theta_abs_le_10_mae_deg,theta_abs_le_10_rmse_deg,theta_abs_le_10_p95_abs_err_deg,theta_abs_le_10_max_abs_err_deg,theta_abs_le_10_bias_deg,theta_pos_8_10_mae_deg,theta_pos_8_10_rmse_deg,theta_pos_8_10_p95_abs_err_deg,theta_pos_8_10_max_abs_err_deg,theta_pos_8_10_bias_deg,theta_pos_8_10_n,theta_neg_10_8_mae_deg,theta_neg_10_8_rmse_deg,theta_neg_10_8_p95_abs_err_deg,theta_neg_10_8_max_abs_err_deg,theta_neg_10_8_bias_deg,theta_neg_10_8_n,theta_pos_6_8_mae_deg,theta_pos_6_8_rmse_deg,theta_pos_6_8_p95_abs_err_deg,theta_pos_6_8_max_abs_err_deg,theta_pos_6_8_bias_deg,theta_pos_6_8_n,theta_neg_8_6_mae_deg,theta_neg_8_6_rmse_deg,theta_neg_8_6_p95_abs_err_deg,theta_neg_8_6_max_abs_err_deg,theta_neg_8_6_bias_deg,theta_neg_8_6_n,theta_active_abs_ge_2_mae_deg,theta_active_abs_ge_2_p95_abs_err_deg,theta_neg_4_2_mae_deg,theta_neg_4_2_p95_abs_err_deg,theta_neg_4_2_bias_deg,theta_neg_2_0p5_mae_deg,theta_neg_2_0p5_p95_abs_err_deg,theta_neg_2_0p5_bias_deg,theta_pos_0p5_2_mae_deg,theta_pos_0p5_2_p95_abs_err_deg,theta_pos_0p5_2_bias_deg,theta_flat_abs_p95_deg,theta_flat_abs_max_deg,theta_flat_bias_deg,theta_near_flat_abs_p95_deg,theta_near_flat_abs_max_deg,theta_near_flat_bias_deg,theta_true_zero_mae_deg,theta_true_zero_abs_p95_deg,theta_true_zero_abs_max_deg,theta_true_zero_bias_deg,theta_flat_turn_abs_p95_deg,theta_flat_turn_abs_max_deg,false_turn_straight,flat_as_stall_ratio,stall_as_flat_ratio,cm_main,cm_turn,uphill_recall,downhill_recall,checkpoint_file,onnx_file,report_file,missing_required_files,artifact_complete,delta_acc_main,delta_acc_turn,delta_acc_turn_transition,delta_theta_mae_deg,delta_flat_recall,delta_stall_recall,delta_slope_recall,delta_theta_edge_p95_abs_err,delta_flat_peak_theta_error,eligible_reason,promotable_reason
baseline_lock,0.0,0.0,0.0,baseline,reference,reference,0.0,0.9669627984453082,0.5788450860632982,0.5974070283179802,0.4977645305514158,0.6793947815895081,0.9695767195767195,0.71875,0.974909090909091,2.755056858062744,5.335740089416504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fs_t05_s05_sm000_seed21,0.5,0.5,0.0,disabled_contract_limited,False,False,-0.9607474944154044,0.9372570794003331,0.49000555247084954,0.4926646195837598,0.4783904619970194,0.7824174165725708,0.9312169312169312,0.65625,0.9487272727272728,3.3647520542144775,7.034807205200195,ModernTCN-small,21,38,0.968256332788383,0.02220988339811216,0.03498056635202665,0.6438627644903236,0.4883398112159911,0.6776790671848972,0.5819774718397998,0.4857734092084842,0.4149425287356322,0.7297736406326294,0.9970137476921082,2.0651276111602783,5.711708068847656,-0.195599764585495,0.782417356967926,1.088586449623108,2.1807913780212402,8.256926536560059,-0.2681257128715515,1.2938388586044312,1.763548493385315,3.3647520542144775,8.256926536560059,-0.8562580943107605,328.0,0.7285489439964294,0.9625996351242065,2.0296788215637207,4.447462558746338,-0.2991258502006531,363.0,0.6746649742126465,0.9357972741127014,1.768446445465088,5.69360876083374,-0.321014404296875,378.0,0.9390689134597778,1.1482559442520142,2.1539318561553955,3.306558847427368,-0.6173543930053711,378.0,0.8136095404624939,2.238091468811035,0.7760514616966248,2.014859914779663,-0.436568945646286,0.6526700854301453,1.7993800640106201,0.016352975741028786,0.6279200315475464,1.7187860012054443,0.011388683691620827,2.471562623977661,7.034807205200195,0.06508276611566544,1.717056155204773,4.832669734954834,0.15370924770832062,nan,nan,nan,nan,1.5874409675598145,3.263880491256714,0.5142265907915158,0.0013227513227513227,0.10416666666666667,"[[704, 1, 51], [10, 63, 23], [125, 16, 2609]]","[[465, 220, 114], [504, 939, 490], [223, 286, 361]]",0.7138761467889908,0.8030646992054483,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s05_sm000_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s05_sm000_seed21\ModernTCN_train_report.md,,True,-0.0297057190449751,-0.08883953359244867,-0.019374068554396384,-0.10302263498306274,-0.03835978835978837,-0.0625,-0.026181818181818195,-0.6096951961517334,-1.6990671157836914,"acc_main >= 0.963963, actual 0.937257; acc_turn >= 0.573845, actual 0.490006; acc_turn_transition >= 0.497765, actual 0.478390; theta_mae_deg <= 0.689395, actual 0.782417; flat_recall >= 0.959577, actual 0.931217; stall_recall >= 0.668750, actual 0.656250; slope_recall >= 0.969909, actual 0.948727; theta_edge_p95_abs_err <= 2.755057, actual 3.364752; flat_peak_theta_error <= 5.335740, actual 7.034807",not eligible
fs_t02_s02_sm000_seed21,0.2,0.2,0.0,disabled_contract_limited,False,False,-1.1717406759322124,0.9697390338700722,0.49444752915047196,0.503582395087001,0.45454545454545453,0.8159654140472412,0.9775132275132276,0.6666666666666666,0.9781818181818182,3.4368369579315186,7.7557196617126465,ModernTCN-small,21,24,0.9745404798555651,0.01110494169905608,0.027207107162687396,0.5965349455038986,0.582176568573015,0.77623542476402,0.4555694618272841,0.4868080703569581,0.5471264367816092,0.7930452227592468,1.1173083782196045,2.2757809162139893,8.168774604797363,-0.016042666509747505,0.8159652948379517,1.1655237674713135,2.3670654296875,8.168774604797363,-0.03214292600750923,1.0129717588424683,1.5581475496292114,3.4368369579315186,7.738278388977051,-0.14818261563777924,328.0,0.8156952857971191,1.1161222457885742,1.7865604162216187,7.054104804992676,-0.05214623361825943,363.0,0.6620028614997864,0.9572199583053589,1.856208086013794,4.975036144256592,0.00832513626664877,378.0,0.7703657150268555,1.0420968532562256,2.2587783336639404,4.575711727142334,-0.22527477145195007,378.0,0.8210922479629517,2.4898178577423096,0.9628220200538635,2.8572845458984375,-0.5320307612419128,0.9217446446418762,2.4446938037872314,-0.02834710106253624,0.8249469995498657,1.9603204727172852,0.1016276627779007,3.153079032897949,7.7557196617126465,0.060591116547584534,2.1673526763916016,3.567390203475952,0.08681168407201767,nan,nan,nan,nan,1.8976401090621948,3.182466506958008,0.5131919296430419,0.0,0.11458333333333333,"[[739, 0, 17], [11, 64, 21], [47, 13, 2690]]","[[364, 283, 152], [363, 941, 629], [182, 212, 476]]",0.7551605504587156,0.7888762769580022,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s02_sm000_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s02_sm000_seed21\ModernTCN_train_report.md,,True,0.0027762354247640175,-0.08439755691282624,-0.043219076005961254,-0.13657063245773315,0.00793650793650802,-0.05208333333333337,0.003272727272727205,-0.6817800998687744,-2.4199795722961426,"acc_turn >= 0.573845, actual 0.494448; acc_turn_transition >= 0.497765, actual 0.454545; theta_mae_deg <= 0.689395, actual 0.815965; stall_recall >= 0.668750, actual 0.666667; theta_edge_p95_abs_err <= 2.755057, actual 3.436837; flat_peak_theta_error <= 5.335740, actual 7.755720",not eligible
fs_t02_s05_sm000_seed21,0.2,0.5,0.0,disabled_contract_limited,False,False,-1.2728574051838688,0.9553026096612993,0.4647418101054969,0.46980552712384854,0.4426229508196721,0.915766716003418,0.9537037037037037,0.6770833333333334,0.9654545454545455,4.2516374588012695,6.1961565017700195,ModernTCN-small,21,38,0.9739902314957283,0.013048306496390895,0.0277623542476402,0.6606184557543915,0.4133814547473626,0.6085508051082732,0.5707133917396746,0.4112778065183652,0.4862068965517241,0.8649570345878601,1.1353858709335327,2.24859881401062,6.224969387054443,-0.2210676074028015,0.9157668352127075,1.2339448928833008,2.4068546295166016,7.687279224395752,-0.3055747151374817,1.5999456644058228,2.050478458404541,4.2516374588012695,7.687279224395752,-1.1059328317642212,328.0,0.6915768980979919,0.9540733695030212,1.9214377403259277,4.814395427703857,-0.23772357404232025,363.0,0.9345360994338989,1.1652588844299316,2.0848965644836426,6.224969387054443,-0.5577044486999512,378.0,0.8989319205284119,1.1103590726852417,2.1375460624694824,4.4088640213012695,-0.3817480206489563,378.0,0.9482014179229736,2.427281379699707,0.8513884544372559,2.1362149715423584,-0.10539210587739944,0.8725578784942627,2.068838119506836,-0.430347204208374,0.8300572037696838,2.277240753173828,-0.5228551030158997,2.984342575073242,6.1961565017700195,-0.40625032782554626,2.4151113033294678,3.6767332553863525,-0.27463895082473755,nan,nan,nan,nan,2.244372844696045,2.6584181785583496,0.5887221934816348,0.0013227513227513227,0.09375,"[[721, 1, 34], [9, 65, 22], [77, 18, 2655]]","[[456, 232, 111], [533, 795, 605], [205, 242, 423]]",0.7322247706422018,0.8013620885357549,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s05_sm000_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t02_s05_sm000_seed21\ModernTCN_train_report.md,,True,-0.011660188784008874,-0.11410327595780129,-0.05514157973174366,-0.2363719344139099,-0.015873015873015817,-0.04166666666666663,-0.009454545454545493,-1.4965806007385254,-0.8604164123535156,"acc_main >= 0.963963, actual 0.955303; acc_turn >= 0.573845, actual 0.464742; acc_turn_transition >= 0.497765, actual 0.442623; theta_mae_deg <= 0.689395, actual 0.915767; flat_recall >= 0.959577, actual 0.953704; slope_recall >= 0.969909, actual 0.965455; theta_edge_p95_abs_err <= 2.755057, actual 4.251637; flat_peak_theta_error <= 5.335740, actual 6.196157",not eligible
fs_t05_s02_sm000_seed21,0.5,0.2,0.0,disabled_contract_limited,False,False,-1.4043773050387742,0.9566907273736813,0.4838978345363687,0.478676219720232,0.5067064083457526,0.954511821269989,0.9312169312169312,0.6979166666666666,0.9727272727272728,3.753903388977051,8.250229835510254,ModernTCN-small,21,28,0.9743805085631142,0.01249305941143809,0.028872848417545807,0.6126092458979758,0.5316490838423098,0.722376457523598,0.5018773466833542,0.43507501293326434,0.5758620689655173,0.8956185579299927,1.2010350227355957,2.371018886566162,7.073728561401367,0.051311999559402466,0.9545118808746338,1.2784329652786255,2.4752025604248047,8.55968952178955,0.1097545400261879,1.1525050401687622,1.6136698722839355,3.753903388977051,6.210416316986084,-0.4901818037033081,328.0,1.2323156595230103,1.498841643333435,2.5836970806121826,8.55968952178955,1.1050571203231812,363.0,0.7554778456687927,1.0035194158554077,2.03311824798584,5.817192554473877,-0.24593405425548553,378.0,1.1491659879684448,1.3869915008544922,2.3759686946868896,5.212594509124756,0.9910342693328857,378.0,0.9782842397689819,2.5155997276306152,0.8700016140937805,2.3173208236694336,0.05226198956370354,0.8344383239746094,2.0890934467315674,-0.16488507390022278,0.9435946941375732,2.6387734413146973,-0.5746088624000549,2.6736388206481934,8.250229835510254,-0.4002849757671356,2.1227540969848633,4.619709014892578,-0.4056303799152374,nan,nan,nan,nan,2.184974431991577,4.619709014892578,0.5649249870667357,0.0,0.09375,"[[704, 0, 52], [9, 67, 20], [41, 34, 2675]]","[[401, 224, 174], [466, 841, 626], [182, 187, 501]]",0.7465596330275229,0.8087400681044268,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\modern_tcn_seed21.pt,,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_sci_innovation\02_hard_sample_loss\fs_t05_s02_sm000_seed21\ModernTCN_train_report.md,,True,-0.010272071071626865,-0.09494725152692951,0.008941877794336861,-0.27511703968048096,-0.03835978835978837,-0.02083333333333337,-0.0021818181818181737,-0.9988465309143066,-2.91448974609375,"acc_main >= 0.963963, actual 0.956691; acc_turn >= 0.573845, actual 0.483898; theta_mae_deg <= 0.689395, actual 0.954512; flat_recall >= 0.959577, actual 0.931217; theta_edge_p95_abs_err <= 2.755057, actual 3.753903; flat_peak_theta_error <= 5.335740, actual 8.250230",not eligible
