algorithm_id,n_paths,path_set_complete,same_path_set_as_baseline,same_closed_loop_protocol_as_baseline,closed_loop_protocol,ey_rmse_mean,ey_rmse_worst,xy_rmse_mean,xy_rmse_worst,epsi_rmse_mean,epsi_rmse_worst,ev_rmse_mean,ev_rmse_worst,eomega_rmse_mean,eomega_rmse_worst,j_du_mean,j_du_worst,omega_cmd_rms_mean,omega_cmd_rms_worst,omega_cmd_peak_mean,omega_cmd_peak_worst,viol_rate_mean,viol_rate_worst,theta_mae_deg_mean,theta_mae_deg_worst,theta_sched_mae_deg_mean,theta_sched_mae_deg_worst,main_acc_pct_mean,main_acc_pct_worst,turn_acc_pct_mean,turn_acc_pct_worst,slope_recall_pct_mean,slope_recall_pct_worst,right_recall_pct_mean,right_recall_pct_worst,left_recall_pct_mean,left_recall_pct_worst
baseline_lock,3,true,true,true,window2_formal_validation,0.0340541598964198,0.0405837714490269,0.600747319384481,0.759372661078766,0.0395281150431306,0.0438205586620913,0.0394246414172925,0.0565547314665031,0.0198479903106892,0.0295813297600726,4.73336252454802,7.78615426540432,0.0725761346213963,0.0792461283900394,0.661361441292809,1.35086687840308,0,0,0.618880320311513,0.794694392365761,0.788736574125418,1.16142933202247,94.4445123562036,90.9905768788784,53.6149667029795,46.6789243851988,95.7896658763004,94.0431654676259,85.626217991058,77.0601336302895,38.0195614983174,10.9800617803988
uncertainty_seed101_rerun_20260622,3,true,true,true,window2_formal_validation,0.0296269727303799,0.0320073177605506,0.553890709479584,0.769554098918744,0.0379209992142139,0.0450153637640199,0.0386847897381118,0.0618189727805997,0.0186249203648196,0.0310157446512076,4.68786764219691,10.4109954491019,0.0710415972600494,0.0775516488676524,0.314479362648833,0.501639162964204,0,0,0.552765365548615,0.816997910687637,0.737903448650957,1.20352040420546,92.4382837181255,90.0712479889681,53.9766889668855,42.656860491841,95.7220046747412,93.0647482014388,77.3318224115527,64.0100250626566,55.9625818414687,37.7422072451559
mode_theta_detach_flatreg001_seed21_rerun_20260622,3,true,true,true,window2_formal_validation,0.046237535322282,0.0668906719289653,0.65835960607258,0.858965873309045,0.0418306683518337,0.0617080647115519,0.0413776541580754,0.0690213436180732,0.0169210610917618,0.0224234905166287,4.86719940274165,8.23726004065443,0.07187689857485,0.0837759303449827,0.50565236632318,0.722554027344231,0,0,0.706280110376738,1.18946945537262,0.798512129817966,1.37011836736213,95.4345814605056,92.369570213744,59.0981779137049,48.5175821650195,96.4672425210324,94.3309352517986,68.0807218404267,52.5062656641604,40.0106392212901,11.3732097725358
GRU_seed101,3,true,true,false,legacy_dual_modern_seed101_full,0.939034477627857,2.70280312089033,4.85316815167924,14.0067052885062,0.191464553544666,0.515702713165026,0.173157127049594,0.43584428902027,0.0437960391459593,0.095302248804627,659.980602686897,1972.51867756625,0.398726051278065,0.977613924138012,0.950514742494019,1.65600000000043,0,0,0.714282075746123,0.797101761309134,0.830812314438719,0.920923161876524,91.77821423402,91.1054929901172,60.4285559079579,44.9422194079468,93.1341790140321,87.5293014533521,77.4378315547054,46.265664160401,65.2046623700851,13.9286717214266
TCN_seed101,3,true,true,false,legacy_dual_modern_seed101_full,5.26378565091783,15.4696743807832,9.04895510759202,23.8856306531845,0.339892637832351,0.797734928239704,0.440321403766346,1.10587171445782,0.0722584184144924,0.116694881317419,1029.15587145695,2594.22434154517,0.418629637891021,0.964722353743789,1.54131871936954,1.65600000000009,0,0,1.14070390370027,1.2770026691828,1.88463956641574,2.55056347172654,78.8452583279073,74.8793380831993,50.2316421244293,36.2215582624684,84.126782399678,79.568345323741,60.5641970447908,44.3609022556391,56.9889969546187,39.6593673965937
