case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,disturbance_scale,disturbance_noise_scale,disturbance_process_scale,noise_enabled,noise_signature,process_signature,comparison_scheme,mamba_backend,mamba_host,mamba_port,mamba_infer_interval,mamba_checkpoint_tag,mamba_mu_sigma_tag,mamba_service_fingerprint_file,mamba_infer_ok_count,mamba_infer_fail_count,mamba_slip_fallback_count,theta_model_on_ratio,delta_model_on_ratio,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,tmp_path_straight_0p5s,E:\Matlab\Simulink\S-Function_16\tools\tmp_path_straight_0p5s.mat,E:\Matlab\Simulink\S-Function_16\tools\tmp_path_straight_0p5s.mat,0,0,0,0,0,3.76872664625997,802.54,A_system_level,matlab_stub,172.31.248.4,5009,2,agv_mamba2_v2_weighted/best.pt,agv_mamba2_v2_weighted/mu_sigma.npz,E:\Matlab\Simulink\S-Function_16\results\compare\mamba2_gru_imu\compare_20260423_111938\service_fingerprint.json,0,0,0,0,0,1,ok,,23.9199082,51,0,0,0,0,0.605991477306327,0,7140374.33551525,0.0588235294117647,7.84313725490196,0,0.0073925,0.00886555,0.0138188,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,tmp_path_straight_0p5s,E:\Matlab\Simulink\S-Function_16\tools\tmp_path_straight_0p5s.mat,E:\Matlab\Simulink\S-Function_16\tools\tmp_path_straight_0p5s.mat,0,0,0,0,0,3.76872664625997,802.54,A_system_level,matlab_stub,172.31.248.4,5009,2,agv_mamba2_v2_weighted/best.pt,agv_mamba2_v2_weighted/mu_sigma.npz,E:\Matlab\Simulink\S-Function_16\results\compare\mamba2_gru_imu\compare_20260423_111938\service_fingerprint.json,0,0,0,0,0,2,ok,,1.5713828,51,0,0,0,0,0.605991477306327,0,7140374.33551525,0.0588235294117647,7.84313725490196,0,0.0077444,0.0089489,0.01270865,0,
