epoch,lr,train_loss,val_loss,val_score,val_theta_mae_deg,val_theta_abs_le_8_p95_abs_err_deg,val_theta_flat_abs_p95_deg,val_theta_flat_abs_max_deg,val_theta_flat_bias_deg,val_theta_near_flat_abs_p95_deg,val_theta_true_zero_abs_p95_deg,val_theta_abs_le_8_mae_deg,val_theta_abs_le_10_mae_deg,val_theta_pos_6_8_mae_deg,val_theta_neg_8_6_mae_deg,val_theta_neg_4_2_mae_deg,val_theta_neg_4_2_p95_abs_err_deg,val_acc_main,val_acc_turn,val_acc_turn_transition
1,0.0004999143312438893,0.310113203041203,0.6872222616409749,9.60021064431415,0.5732204914093018,2.2913851737976074,0.5443333387374878,8.769062995910645,0.23712961375713348,0.5471444725990295,0.5436394810676575,0.573220431804657,0.573220431804657,1.9532599449157715,1.5234485864639282,1.6974531412124634,4.343993663787842,0.974721941354904,0.9302325581395349,0.6181818181818182
2,0.0004996573836886434,0.050844037883463124,0.6651556358660436,6.8178982469138445,0.37949463725090027,1.6204801797866821,0.623600423336029,4.742968559265137,0.10468517243862152,0.6592183709144592,0.6663495898246765,0.37949463725090027,0.37949463725090027,0.6902344226837158,0.4201640188694,1.6123661994934082,4.280064582824707,0.9742163801820021,0.9317492416582407,0.6090909090909091
3,0.000499229333433282,0.05355659789484941,0.6450466496156128,7.147100006364836,0.48944711685180664,1.8811863660812378,0.6333787441253662,3.7620162963867188,0.19508850574493408,0.6185471415519714,0.621789813041687,0.48944708704948425,0.48944708704948425,1.2804560661315918,1.2340155839920044,1.8843190670013428,4.309875011444092,0.9737108190091001,0.9322548028311426,0.6
4,0.0004986304738420682,0.035978199661253984,0.6416757662448169,6.4651465061696225,0.36247187852859497,1.6292344331741333,0.5264137387275696,3.8490688800811768,0.08568301051855087,0.5481269955635071,0.5559136867523193,0.36247187852859497,0.36247187852859497,0.6557558178901672,0.6816549897193909,1.3997819423675537,4.232019424438477,0.9737108190091001,0.9332659251769464,0.6181818181818182
5,0.0004978612153434525,0.023697982418419555,0.6338556276293447,7.457666157105629,0.3786298930644989,1.4751492738723755,0.48072052001953125,10.145377159118652,-0.13650372624397278,0.49433383345603943,0.49428820610046387,0.3786298930644989,0.3786298930644989,0.7421806454658508,1.0690245628356934,1.3190793991088867,3.7388155460357666,0.9737108190091001,0.9327603640040445,0.6181818181818182
6,0.0004969220851487844,0.02733141364868312,0.6187363699666169,6.185506893520583,0.35021594166755676,1.5276504755020142,0.3358645737171173,5.2957329750061035,-0.05551576986908913,0.3455302119255066,0.3444417119026184,0.35021597146987915,0.35021597146987915,0.5120443105697632,0.32524237036705017,1.196759581565857,3.832766056060791,0.9737108190091001,0.9327603640040445,0.6181818181818182
7,0.0004958137268909886,0.023264930087910286,0.6642178987709408,10.138079297294928,0.6199010610580444,2.8556854724884033,0.6012912392616272,5.593166351318359,0.1988200694322586,0.600389838218689,0.6107322573661804,0.6199011206626892,0.6199011206626892,2.8041512966156006,0.7721647620201111,1.523088812828064,4.6440300941467285,0.9742163801820021,0.9327603640040445,0.6181818181818182
8,0.0004945369001834513,0.026848164382235383,0.6018417338389598,5.690201112838372,0.3374169170856476,1.6464133262634277,0.43287181854248047,4.477514266967773,-0.04563908651471138,0.44965866208076477,0.44464150071144104,0.33741694688796997,0.33741694688796997,1.3589417934417725,0.6910184621810913,1.0435292720794678,3.448594093322754,0.9742163801820021,0.9327603640040445,0.6181818181818182
9,0.000493092480099419,0.031994632632940126,0.6760472365409226,7.713312821546201,0.4505138099193573,1.8313357830047607,0.4093681275844574,4.8718109130859375,0.07564301788806915,0.45646992325782776,0.46430736780166626,0.4505138397216797,0.4505138397216797,0.6358999013900757,1.465732455253601,2.0830490589141846,4.600310325622559,0.9742163801820021,0.9342770475227502,0.6181818181818182
10,0.0004914814565722669,0.04530574652305535,0.6436210733935372,6.1254225952132835,0.3237649202346802,1.388581395149231,0.5553717613220215,4.446209907531738,0.12296655774116516,0.5899292826652527,0.5944089889526367,0.32376495003700256,0.32376495003700256,0.4294098913669586,0.36042237281799316,1.3597824573516846,4.221803665161133,0.9737108190091001,0.9337714863498483,0.6181818181818182
11,0.0004897049337170481,0.03419483089080267,0.6398399852525115,6.583309466872915,0.40826350450515747,1.9328033924102783,0.32324904203414917,3.522433280944824,0.03278910368680954,0.36059412360191345,0.3639560341835022,0.40826353430747986,0.40826353430747986,0.961841344833374,1.5800524950027466,1.9196925163269043,3.8737363815307617,0.9742163801820021,0.9327603640040445,0.6090909090909091
12,0.00048776412907378824,0.05215488207478823,0.6464656501616699,6.314317450475491,0.3169248700141907,1.304581642150879,0.51434725522995,5.302032470703125,0.04974742233753204,0.5235757827758789,0.5270366668701172,0.31692489981651306,0.31692489981651306,0.7090584635734558,0.39596936106681824,1.4153552055358887,4.299598693847656,0.9742163801820021,0.9332659251769464,0.6090909090909091
13,0.0004856603727730445,0.04168999916009916,0.7622693614361862,9.937178023847787,0.5840856432914734,2.1576802730560303,0.7249660491943359,5.496176719665527,0.18727482855319977,0.7282793521881104,0.7376631498336792,0.5840855836868286,0.5840855836868286,1.038145899772644,1.353920578956604,2.406198740005493,5.594544887542725,0.9726996966632963,0.9327603640040445,0.6090909090909091
14,0.0004833951066243003,0.044404667065058474,0.6242863481037537,5.594316415314903,0.3558582067489624,1.5505433082580566,0.41540542244911194,4.136569023132324,-0.10699129849672318,0.4199694097042084,0.4197949171066284,0.3558582067489624,0.3558582067489624,0.43614786863327026,0.6680861115455627,1.1698325872421265,3.582984685897827,0.9726996966632963,0.9327603640040445,0.6181818181818182
15,0.00048096988312782156,0.023696461461480932,0.6373906572499097,5.432018094003523,0.343248188495636,1.243893027305603,0.4889267086982727,3.8121910095214844,0.17108604311943054,0.5330087542533875,0.5422783493995667,0.343248188495636,0.343248188495636,0.4724465310573578,0.40615832805633545,1.2603198289871216,4.0440521240234375,0.9726996966632963,0.9332659251769464,0.6272727272727273
16,0.00047838636441065006,0.06433152621931289,0.6416235804798871,7.244878904169859,0.3954518735408783,1.9210716485977173,0.48347222805023193,4.516516208648682,0.11244560033082962,0.5185156464576721,0.5197502374649048,0.3954518735408783,0.3954518735408783,0.5434851050376892,0.5112586617469788,1.4673742055892944,4.208628177642822,0.9726996966632963,0.9337714863498483,0.6181818181818182
