metric,mean,std,min,max
acc_main,0.986981465136805,0,0.986981465136805,0.986981465136805
acc_turn,0.952265372168285,0,0.952265372168285,0.952265372168285
acc_turn_pure,0.981106498347878,0,0.981106498347878,0.981106498347878
acc_turn_transition,0.762409369771333,0,0.762409369771333,0.762409369771333
theta_mae_deg,0.418460695847812,0,0.418460695847812,0.418460695847812
flat_recall,0.990021472780093,0,0.990021472780093,0.990021472780093
stall_recall,0.962202136400986,0,0.962202136400986,0.962202136400986
slope_recall,0.988346033168983,0,0.988346033168983,0.988346033168983
uphill_recall,0.994418604651163,0,0.994418604651163,0.994418604651163
downhill_recall,0.982698961937716,0,0.982698961937716,0.982698961937716
theta_abs_le_8_mae_deg,0.418460695847813,0,0.418460695847813,0.418460695847813
theta_abs_le_10_mae_deg,0.418460695847813,0,0.418460695847813,0.418460695847813
theta_pos_6_8_mae_deg,0.824862056114802,0,0.824862056114802,0.824862056114802
theta_pos_6_8_bias_deg,-0.794115047815888,0,-0.794115047815888,-0.794115047815888
theta_neg_8_6_mae_deg,0.542268379417701,0,0.542268379417701,0.542268379417701
theta_neg_8_6_bias_deg,0.500371523123976,0,0.500371523123976,0.500371523123976
