model,case_name,phase,seed,best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,hidden_size,num_layers,head_pooling,turn_head_type,turn_head_source,lambda_turn,model_file,meta_file,report_file
GRU,h64_l2_turn0p05_last_mean_inputstats,grid,NaN,11,0.162265039651212,0.118444814932111,0.921348314606742,0.853932584269663,0.893564356435644,0.463414634146341,0.618608329557836,0.932075471698113,0.666666666666667,0.932098765432099,0.954887218045113,0.827586206896552,0.0528301886792453,64,2,last_mean_inputstats,mlp,inputstats,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p05_last_mean_inputstats\GRU_train_report.md
GRU,h64_l2_turn0p20_last_mean,grid,NaN,32,0.163689910046117,0.100993280832634,0.946067415730337,0.791011235955056,0.836633663366337,0.341463414634146,1.06330986690446,0.966037735849057,0.555555555555556,0.95679012345679,0.977443609022556,0.862068965517241,0.0226415094339623,64,2,last_mean,linear,readout,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p20_last_mean\GRU_train_report.md
GRU,h64_l2_turn0p20_last_mean_inputstats,grid,NaN,11,0.167333076600369,0.123288132780144,0.919101123595506,0.853932584269663,0.893564356435644,0.463414634146341,0.664643575949466,0.928301886792453,0.666666666666667,0.932098765432099,0.954887218045113,0.827586206896552,0.0566037735849057,64,2,last_mean_inputstats,mlp,inputstats,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p20_last_mean_inputstats\GRU_train_report.md
GRU,h96_l2_turn0p20_last_mean_inputstats,grid,NaN,9,0.167397237429957,0.119532068890631,0.930337078651685,0.840449438202247,0.878712871287129,0.463414634146341,0.908244628701049,0.943396226415094,0.666666666666667,0.938271604938272,0.962406015037594,0.827586206896552,0.0452830188679245,96,2,last_mean_inputstats,mlp,inputstats,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p20_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p20_last_mean_inputstats\GRU_train_report.md
GRU,h96_l1_turn0p05_last_mean,grid,NaN,36,0.17290592513256,0.106838509402223,0.934831460674157,0.779775280898876,0.829207920792079,0.292682926829268,0.759868965637553,0.947169811320755,0.611111111111111,0.950617283950617,0.977443609022556,0.827586206896552,0.0339622641509434,96,1,last_mean,linear,readout,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p05_last_mean\GRU_train_report.md
GRU,h64_l1_turn0p05_last_mean,grid,NaN,35,0.175315243615583,0.10385456945828,0.937078651685393,0.761797752808989,0.809405940594059,0.292682926829268,0.834651283308813,0.947169811320755,0.666666666666667,0.950617283950617,0.969924812030075,0.862068965517241,0.0377358490566038,64,1,last_mean,linear,readout,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p05_last_mean\GRU_train_report.md
GRU,h96_l1_turn0p20_last_mean,grid,NaN,24,0.177918442448302,0.113873498628077,0.928089887640449,0.786516853932584,0.831683168316832,0.341463414634146,0.691732672327995,0.939622641509434,0.611111111111111,0.944444444444444,0.969924812030075,0.827586206896552,0.0490566037735849,96,1,last_mean,linear,readout,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l1_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l1_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l1_turn0p20_last_mean\GRU_train_report.md
GRU,h96_l2_turn0p20_last_mean,grid,NaN,20,0.181406329449338,0.118035542932484,0.928089887640449,0.78876404494382,0.836633663366337,0.317073170731707,0.926720669983716,0.932075471698113,0.611111111111111,0.95679012345679,0.977443609022556,0.862068965517241,0.0452830188679245,96,2,last_mean,linear,readout,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p20_last_mean\GRU_train_report.md
GRU,h96_l2_turn0p10_last_mean,grid,NaN,20,0.182414797731752,0.117695696608156,0.932584269662921,0.784269662921348,0.834158415841584,0.292682926829268,0.975118870504975,0.943396226415094,0.611111111111111,0.950617283950617,0.977443609022556,0.827586206896552,0.0339622641509434,96,2,last_mean,linear,readout,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p10_last_mean\GRU_train_report.md
GRU,h64_l2_turn0p10_last_mean,grid,NaN,20,0.200720074479447,0.133978501445739,0.934831460674157,0.77752808988764,0.821782178217822,0.341463414634146,1.53156980771439,0.947169811320755,0.722222222222222,0.938271604938272,0.954887218045113,0.862068965517241,0.0377358490566038,64,2,last_mean,linear,readout,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p10_last_mean\GRU_train_report.md
GRU,h64_l1_turn0p10_last_mean,grid,NaN,24,0.200737520252234,0.133097070814032,0.919101123595506,0.775280898876405,0.821782178217822,0.317073170731707,0.890999102268366,0.924528301886792,0.611111111111111,0.944444444444444,0.969924812030075,0.827586206896552,0.060377358490566,64,1,last_mean,linear,readout,0.1,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p10_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p10_last_mean\GRU_train_report.md
GRU,h64_l2_turn0p05_last_mean,grid,NaN,20,0.200904609361508,0.127421463294092,0.930337078651685,0.755056179775281,0.79950495049505,0.317073170731707,1.21754845430482,0.943396226415094,0.611111111111111,0.944444444444444,0.962406015037594,0.862068965517241,0.0452830188679245,64,2,last_mean,linear,readout,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l2_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l2_turn0p05_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l2_turn0p05_last_mean\GRU_train_report.md
GRU,h64_l1_turn0p20_last_mean,grid,NaN,23,0.203676636130714,0.136148546243073,0.91685393258427,0.77752808988764,0.829207920792079,0.268292682926829,0.873370363656893,0.916981132075472,0.611111111111111,0.950617283950617,0.977443609022556,0.827586206896552,0.0679245283018868,64,1,last_mean,linear,readout,0.2,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h64_l1_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h64_l1_turn0p20_last_mean.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h64_l1_turn0p20_last_mean\GRU_train_report.md
