model,case_name,phase,seed,best_epoch,production_score,main_score,acc_main,acc_turn,acc_turn_pure,acc_turn_transition,theta_mae_deg,flat_recall,stall_recall,slope_recall,uphill_recall,downhill_recall,flat_as_slope,hidden_size,num_layers,head_pooling,turn_head_type,turn_head_source,lambda_turn,model_file,meta_file,report_file
TCN,staged_bestbase_inputstats_turn_lam050,,NaN,60,NaN,NaN,0.9303,0.8989,0.9257,0.6341,0.738,0.9585,0.7778,0.9012,0.9173,0.8276,NaN,NaN,NaN,,,,NaN,data/models/TCN_model_staged_bestbase_v1_staged_bestbase_inputstats_turn_lam050.mat,data/models/TCN_meta_staged_bestbase_v1_staged_bestbase_inputstats_turn_lam050.mat,results/tcn/experiments/staged_bestbase_v1/staged_bestbase_inputstats_turn_lam050/TCN_train_report.md
GRU,h96_l2_turn0p05_last_mean_inputstats,grid,NaN,48,0.106384575664522,0.0713283958892416,0.948314606741573,0.88314606741573,0.913366336633663,0.585365853658537,0.415603367657159,0.962264150943396,0.666666666666667,0.95679012345679,0.977443609022556,0.862068965517241,0.0150943396226415,96,2,last_mean_inputstats,mlp,inputstats,0.05,E:\Matlab\Simulink\S-Function_16\data\models\GRU_model_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\data\models\GRU_meta_gru_fair_v1_h96_l2_turn0p05_last_mean_inputstats.mat,E:\Matlab\Simulink\S-Function_16\results\gru\experiments\gru_fair_v1\h96_l2_turn0p05_last_mean_inputstats\GRU_train_report.md
