case_index,controller,model_name,path_name,path_file,ref_file,disturbance_level,seed,status,message,elapsed_sec,n_samples,ey_rmse,ey_peak,epsi_rmse,epsi_peak,ev_rmse,eomega_rmse,j_du,viol_rate,F_sat_pct,omega_sat_pct,realtime_p50_ms,realtime_p95_ms,realtime_p99_ms,timeout_rate,timeseries_file
1,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,,1151.0442604,14950,0.0134775690316834,0.0770469831729982,0.039299520584602,0.0986311199444154,0.0491983059656787,0.0190879072225409,12626.6869790255,0,0,0,0.00950445,0.350804285,0.38090507,0,
2,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,,1134.937311,14950,0.0134830474981147,0.0770338234549753,0.0394055670697358,0.0988418147282779,0.0492033093483842,0.0193512023346472,12509.2704115839,0,0,0,0.0094402,0.34750605,0.365492146,0,
3,Mamba2,LPVMPC_AGV_simulink_Mamba,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,,1136.4887432,14950,0.0134863510237891,0.0769822900486801,0.0395057472474062,0.0990483319890103,0.0492065215463955,0.0194536691992369,12503.7548652992,0,0,0,0.00945525,0.34875763,0.367712086,0,
4,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,,903.653476,11950,0.0448483503018122,0.179995722832358,0.0438060758459258,0.26443730558022,0.00537117941496032,0.044610360312397,550.106349345498,0,0,0,0.0094658,0.349277885,0.368738971,0,
5,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,,955.8992167,11950,0.0448797593025739,0.180144034038025,0.0439180147476069,0.264867658919228,0.00538050175105019,0.0446718621094689,551.098011716401,0,0,0,0.00977355,0.36359928,0.428208043,0,
6,Mamba2,LPVMPC_AGV_simulink_Mamba,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,,923.322543,11950,0.0448954526195601,0.179874884063977,0.0441806780815069,0.265752008699305,0.00541754401652841,0.0448514137474959,559.457315008245,0,0,0,0.0096797,0.35358805,0.394265025,0,
7,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,,1036.2358677,11950,0,0,0,0,0.0949253616575606,0,6261.13415826222,0,0,0,0.01365565,0.39541458,0.420545359,0,
8,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,,901.6774898,11950,0,0,0,0,0.0949250917252565,0,6260.21511405129,0,0,0,0.0094254,0.34871826,0.376960429,0,
9,Mamba2,LPVMPC_AGV_simulink_Mamba,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,,902.4496272,11950,0,0,0,0,0.094925952699174,0,6263.47369560621,0,0,0,0.00946055,0.350845895,0.379041698,0,
10,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,,198.46918,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,0.0326742296602938,0.0234131552714541,13820.0269207128,0,0,0,0.0109578,0.01335829,0.023012067,0,
11,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,,200.540814,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,0.0326742296602938,0.0234131552714541,13820.0269207128,0,0,0,0.01139955,0.014049265,0.015188022,0,
12,GRU,LPVMPC_AGV_simulink_GRU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,,195.7289404,14950,0.0141094530243384,0.0772600281486729,0.0515891021218738,0.123365365122845,0.0326742296602938,0.0234131552714541,13820.0269207128,0,0,0,0.0114511,0.012928175,0.013729504,0,
13,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,,143.4695911,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,0.00588896417191529,0.0421994013728651,1828.91122624663,0,0,0,0.01098855,0.012429315,0.013334124,0,
14,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,,141.4816039,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,0.00588896417191529,0.0421994013728651,1828.91122624663,0,0,0,0.0106976,0.01247943,0.013375144,0,
15,GRU,LPVMPC_AGV_simulink_GRU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,,141.3087206,11950,0.044151021207974,0.181572357240588,0.0404286682591399,0.254897101050866,0.00588896417191529,0.0421994013728651,1828.91122624663,0,0,0,0.01068205,0.01242891,0.013360963,0,
16,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,,134.4938761,11950,0,0,0,0,0.0522893007240321,0,7401.32313276377,0,0,0,0.0106021,0.01180695,0.0123502,0,
17,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,,134.1833741,11950,0,0,0,0,0.0522893007240321,0,7401.32313276377,0,0,0,0.0105804,0.01174561,0.012299516,0,
18,GRU,LPVMPC_AGV_simulink_GRU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,,134.679963,11950,0,0,0,0,0.0522893007240321,0,7401.32313276377,0,0,0,0.010595,0.01186851,0.012425202,0,
19,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,0,1,ok,,139.1026634,14950,0.0369223854335007,0.164990837120782,0.16153481026761,0.33637760310368,0.095179009043814,0.051211888982157,1757803.81439017,0.00622073578595318,0.40133779264214,0.568561872909699,0.00756205,0.009097025,0.009963163,0,
20,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,1,1,ok,,127.6055966,14950,0.0182873920631081,0.101507161248676,0.0413788514972085,0.102160022803274,0.0884598390381929,0.0174320108416554,5015.36402527251,0,0,0,0.0069358,0.007888755,0.008280602,0,
21,IMU,LPVMPC_AGV_simulink_IMU,path_industrial,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_industrial.mat,2,1,ok,,127.7415894,14950,0.0182873920631081,0.101507161248676,0.0413788514972085,0.102160022803274,0.0884598390381929,0.0174320108416554,5015.36402527251,0,0,0,0.00692955,0.00790362,0.008269359,0,
22,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,0,1,ok,,96.1771398,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,0.00535993672918026,0.0431359375548038,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.00704225,0.00838846,0.00946187,0,
23,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,1,1,ok,,96.637174,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,0.00535993672918026,0.0431359375548038,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.0070371,0.0085361,0.00963731,0,
24,IMU,LPVMPC_AGV_simulink_IMU,path_s_curve,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_s_curve.mat,2,1,ok,,97.012244,11950,0.052603205920579,0.200286596060031,0.0454513473933215,0.268326486627593,0.00535993672918026,0.0431359375548038,648.23712827233,0.000167364016736402,0,0.0167364016736402,0.00710905,0.00850568,0.009594779,0,
25,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,0,1,ok,,90.0594465,11950,0,0,0,0,0.182365852139284,0,922.583804867105,0,0,0,0.00693405,0.007953655,0.008293271,0,
26,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,1,1,ok,,90.0164822,11950,0,0,0,0,0.194342741612617,0,911.227430388395,0,0,0,0.006966,0.00790563,0.008204104,0,
27,IMU,LPVMPC_AGV_simulink_IMU,path_slope,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,E:\Matlab\Simulink\S-Function_16\data\paths\path_slope.mat,2,1,ok,,90.0923272,11950,0,0,0,0,0.194342741612617,0,911.227430388395,0,0,0,0.0069538,0.007922665,0.008254202,0,
