metric,mean,std,min,max
acc_main,0.975190301663378,0,0.975190301663378,0.975190301663378
acc_turn,0.789399492528898,0,0.789399492528898,0.789399492528898
acc_turn_pure,0.829816201497617,0,0.829816201497617,0.829816201497617
acc_turn_transition,0.594417077175698,0,0.594417077175698,0.594417077175698
theta_mae_deg,0.393102083545637,0,0.393102083545637,0.393102083545637
flat_recall,0.986718317653569,0,0.986718317653569,0.986718317653569
stall_recall,0.885185185185185,0,0.885185185185185,0.885185185185185
slope_recall,0.977551020408163,0,0.977551020408163,0.977551020408163
uphill_recall,0.966932725199544,0,0.966932725199544,0.966932725199544
downhill_recall,0.993254637436762,0,0.993254637436762,0.993254637436762
